"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"ENSG00000198712.1",3193.44595916834,1.78028848300837,0.182312908685176,9.76501606961155,1.59086786127471e-22,2.19651125606199e-18,"Not Significant"
"ENSG00000126391.11",799.802630523206,-2.16186629135896,0.236851605650509,-9.12751376720218,7.00904002212718e-20,4.8386907792755e-16,"Downregulated"
"ENSG00000044574.7",2957.3777824464,-1.66600379411153,0.197679885299323,-8.42778612294772,3.52266149344478e-17,1.62124624133307e-13,"Not Significant"
"ENSG00000198727.2",1349.84827656429,1.50561454871029,0.196585402555524,7.65883188241834,1.87631821194384e-14,5.18517442998167e-11,"Not Significant"
"ENSG00000198938.2",2527.84630657482,1.91622403133299,0.250201114214939,7.6587350034214,1.87773391395005e-14,5.18517442998167e-11,"Not Significant"
"ENSG00000130066.14",1113.95090340747,-1.88016726811243,0.25851961258017,-7.27282255047234,3.52052660390884e-13,8.10131847002823e-10,"Not Significant"
"ENSG00000130522.5",1303.11891389763,-1.16636489029233,0.179102875549533,-6.51226222199739,7.40273411968823e-11,1.46013642843622e-07,"Not Significant"
"ENSG00000198840.2",244.681928569409,3.51053431858015,0.55703124539069,6.30222154974078,2.93409349725494e-10,5.06387861457488e-07,"Upregulated"
"ENSG00000278828.1",322.635832719685,2.84971231160542,0.454801334977001,6.26583981278228,3.70821386085279e-10,5.6888120863105e-07,"Upregulated"
"ENSG00000178209.12",27882.8806077499,0.744986743234641,0.120327875093398,6.19130640058577,5.966759285556e-10,8.23830454556717e-07,"Not Significant"
"ENSG00000186480.10",739.618861542407,-2.05032022723535,0.337469838966226,-6.07556584468739,1.23551269302366e-09,1.43609402281657e-06,"Downregulated"
"ENSG00000248527.1",258.017061204028,2.75774066381149,0.454028787448247,6.07393350388786,1.24814429447373e-09,1.43609402281657e-06,"Upregulated"
"ENSG00000089280.16",603.836810779388,1.24130892970852,0.210855643498465,5.8870083300263,3.93248900901878e-09,4.17660582673248e-06,"Not Significant"
"ENSG00000158615.8",389.37779713679,-1.54575353768214,0.26435874394269,-5.8471814271339,4.99972111011838e-09,4.93079638338604e-06,"Not Significant"
"ENSG00000198804.2",7634.06004090323,0.961100820789949,0.16920399320755,5.68013084425872,1.34591740848315e-08,1.23887211059512e-05,"Not Significant"
"ENSG00000147465.9",479.129239043969,-1.73448335008739,0.307946389356342,-5.63241983032418,1.77698456936248e-08,1.53342662182423e-05,"Not Significant"
"ENSG00000090924.12",207.91351701463,3.38481514260119,0.604703009738467,5.59748353834904,2.17485495763207e-08,1.76636602353094e-05,"Upregulated"
"ENSG00000167470.10",1311.83002079811,1.23974437754177,0.225305966848623,5.50249243232303,3.74459304900901e-08,2.87231090153708e-05,"Not Significant"
