GeneID,Control_1,Control_2,Control_3,Treatment_1,Treatment_2,Treatment_3
ENSG00000223972,0,0,5,0,0,0
ENSG00000227232,448,432,542,348,530,490
ENSG00000278267,19,12,22,19,19,16
ENSG00000243485,0,1,0,0,0,0
ENSG00000237613,0,0,0,0,0,0
ENSG00000238009,1,1,0,0,1,0
ENSG00000233750,2,1,1,0,0,3
ENSG00000268903,0,1,1,2,0,1
ENSG00000269981,1,1,4,2,0,0
ENSG00000239906,6,0,3,1,0,0
ENSG00000241860,7,10,8,4,4,6
ENSG00000279928,0,0,3,0,0,0
ENSG00000279457,351,315,365,248,329,298
ENSG00000273874,1,3,0,0,1,1
ENSG00000275135,0,0,1,0,0,0
ENSG00000228463,12,12,18,4,13,4
ENSG00000236679,11,5,1,2,1,2
ENSG00000236743,0,0,0,0,0,0
ENSG00000237094,18,10,20,10,2,10
ENSG00000278566,0,0,0,0,0,0
ENSG00000233653,5,7,4,0,0,0
ENSG00000250575,6,3,7,9,4,6
ENSG00000231709,1,3,3,0,0,0
ENSG00000235146,0,0,0,0,0,1
ENSG00000230021,3,0,1,0,5,1
ENSG00000223659,0,0,2,0,0,0
ENSG00000225972,45,43,48,60,84,57
ENSG00000225630,4115,4294,3873,5860,7193,6607
ENSG00000276171,25,13,17,21,24,24
ENSG00000237973,1108,1056,1233,1434,1598,1555
ENSG00000229344,18,23,28,25,36,23
ENSG00000240409,8,4,10,1,3,3
ENSG00000248527,18966,18989,18983,21489,25568,22954
ENSG00000198744,41,35,28,38,45,26
ENSG00000229376,18,21,10,14,10,14
ENSG00000224956,31,16,39,15,35,19
ENSG00000235373,27,29,35,38,32,27
ENSG00000223181,0,0,0,0,0,2
ENSG00000240618,13,5,6,0,4,7
ENSG00000228327,117,169,176,101,209,118
ENSG00000237491,162,129,133,187,156,114
ENSG00000230092,17,22,12,12,10,40
ENSG00000177757,3,12,16,11,14,6
ENSG00000228794,547,488,472,476,559,539
ENSG00000225880,30,30,22,13,19,21
ENSG00000230368,0,2,0,2,2,0
ENSG00000234711,0,0,0,0,0,0
ENSG00000272438,5,17,10,6,22,9
ENSG00000230699,30,49,77,58,65,80
ENSG00000241180,1,7,0,1,1,5
ENSG00000223764,33,29,52,9,41,18
ENSG00000187634,1,4,0,9,2,4
ENSG00000188976,5614,5639,5877,6348,8569,7650
ENSG00000187961,522,462,570,339,500,482
ENSG00000187583,0,0,0,0,0,0
ENSG00000187642,0,0,0,1,0,0
ENSG00000272512,0,0,0,0,0,0
ENSG00000188290,0,0,0,2,0,0
ENSG00000187608,681,650,735,891,1183,1156
ENSG00000231702,0,0,0,0,0,0
ENSG00000224969,4,0,4,3,3,0
ENSG00000188157,1715,1670,1850,799,1117,1000
ENSG00000217801,39,40,49,29,44,26
ENSG00000273443,1,0,0,3,0,0
ENSG00000237330,0,0,2,9,0,2
ENSG00000131591,710,541,627,558,810,632
