Name	DESCRIPTION	Control	15c	15c	Control	15an	15a	15an	15a
DDX11L1		0	0	0	6	0	1	0	0
WASH7P		70	173	71	116	301	215	117	63
MIR6859-1		4	24	0	59	17	0	19	0
ENSG00000238009		0	0	0	3	0	0	3	0
CICP27		0	1	0	0	1	0	7	1
ENSG00000268903		1	0	0	0	4	5	0	0
ENSG00000269981		0	0	0	0	0	0	0	0
ENSG00000239906		0	0	2	0	0	0	0	0
ENSG00000241860		1	1	0	0	0	7	2	2
ENSG00000241599		0	0	0	0	0	0	0	0
DDX11L17		9	0	0	0	1	18	0	0
WASH9P		78	103	28	86	204	93	104	68
MIR6859-2		0	0	0	0	1	0	3	0
ENSG00000228463		13	33	0	62	3	2	3	0
RPL23AP24		0	2	1	0	0	0	0	0
ENSG00000236601		0	1	0	0	0	0	0	0
ENSG00000237094		8	0	0	12	6	0	0	11
CICP7		0	1	0	11	4	0	7	3
ENSG00000250575		1	9	1	0	1	5	0	5
ENSG00000231709		0	0	0	0	0	0	0	0
ENSG00000235146		0	1	0	0	7	0	0	0
ENSG00000230021		3	0	0	0	0	0	0	0
MTND1P23		18	11	7	12	58	73	11	10
MTND2P28		64	221	45	132	181	218	92	153
ENSG00000276171		7	25	10	10	55	10	30	24
MTCO1P12		62	147	72	77	250	142	117	71
MTCO2P12		4	10	0	3	16	9	7	12
MTATP8P1		0	0	0	0	2	0	0	0
MTATP6P1		371	914	244	649	1344	927	513	713
MTCO3P12		0	8	2	0	1	2	7	16
CICP3		0	0	0	11	4	0	0	2
ENSG00000224956		0	9	0	0	0	0	0	5
ENSG00000235373		1	0	13	0	24	4	4	1
ENSG00000240618		0	0	0	0	0	0	0	1
ENSG00000228327		12	10	0	9	36	7	7	0
LINC01409		0	27	5	2	44	30	28	1
ENSG00000230092		0	0	0	0	0	0	38	0
FAM87B		0	6	0	15	0	4	9	0
LINC01128		20	67	16	16	32	34	20	14
LINC00115		0	16	0	33	18	23	2	6
ENSG00000272438		0	4	0	1	9	0	6	0
ENSG00000230699		40	79	2	56	40	44	19	20
ENSG00000241180		0	0	0	0	0	0	14	0
LINC02593		65	77	30	116	243	145	4	22
SAMD11		80	176	64	161	568	333	86	109
NOC2L		625	1120	357	851	1908	1141	551	533
KLHL17		180	286	45	263	304	242	227	97
PLEKHN1		54	160	57	133	225	157	52	54
PERM1		55	30	0	25	53	0	60	10
ENSG00000272512		48	47	43	20	118	19	16	69
HES4		229	1071	292	361	1154	821	460	635
ISG15		197	455	132	197	620	370	525	174
ENSG00000231702		0	0	0	0	8	0	0	0
ENSG00000224969		0	0	0	0	8	0	0	0
AGRN		4023	10957	2681	6185	15657	8156	6430	5064
ENSG00000217801		17	331	84	97	465	170	114	133
ENSG00000273443		0	56	2	10	26	91	24	16
RNF223		38	75	7	10	53	0	42	50
C1orf159		151	447	116	310	571	381	239	250
LINC01342		0	0	0	0	14	0	0	44
MIR200A		0	4	0	0	0	0	0	0
ENSG00000272141		0	0	0	0	2	0	0	0
TTLL10		0	0	0	0	0	0	0	0
TNFRSF18		10	40	0	37	20	22	0	32
TNFRSF4		0	0	0	16	26	6	6	0
SDF4		745	1978	543	1115	3322	2011	1390	1338
B3GALT6		221	336	117	247	490	515	223	258
C1QTNF12		8	69	10	23	38	32	25	19
ENSG00000260179		0	2	0	11	6	0	8	28
UBE2J2		323	544	126	295	889	393	261	241
LINC01786		10	20	0	0	12	31	0	0
SCNN1D		22	65	0	18	87	12	56	48
ACAP3		583	829	238	597	987	685	559	251
PUSL1		100	247	79	211	352	182	260	139
INTS11		340	1087	197	482	1242	605	558	501
ENSG00000240731		2	6	22	0	26	30	12	4
CPTP		172	338	133	249	601	363	236	195
TAS1R3		30	63	0	69	78	12	58	12
DVL1		715	2072	359	1044	2018	1336	1215	973
MXRA8		42	42	12	54	29	58	60	40
AURKAIP1		541	1358	275	783	1942	1173	591	812
CCNL2		535	1454	293	759	1858	908	983	575
MRPL20-AS1		163	112	8	155	327	123	153	106
MRPL20		119	264	72	197	479	382	275	90
MRPL20-DT		0	14	6	18	32	74	16	6
TMEM88B		15	8	14	6	4	33	0	0
LINC01770		12	71	8	8	47	35	3	18
VWA1		623	1755	455	808	2764	1399	975	912
ATAD3C		8	17	3	9	14	6	5	15
ATAD3B		180	566	136	302	594	584	228	310
ATAD3A		402	600	153	573	751	429	396	465
TMEM240		16	0	12	18	6	29	6	0
SSU72		538	892	323	554	1642	958	681	482
SSU72-AS1		0	0	2	0	61	8	0	2
FNDC10		0	0	0	0	0	0	0	0
ENSG00000272106		2	0	0	2	22	20	36	21
MIB2		337	566	120	325	862	439	465	289
MMP23B		0	12	0	0	1	0	0	0
CDK11B		107	246	40	205	330	194	140	101
ENSG00000272004		0	14	0	0	6	0	2	0
SLC35E2B		459	996	249	810	1357	833	904	685
ENSG00000269737		26	36	4	4	77	53	48	14
ENSG00000269227		0	0	0	0	2	6	9	2
MMP23A		0	3	0	0	0	0	0	0
CDK11A		11	15	26	12	32	25	44	0
ENSG00000268575		0	35	0	38	55	48	38	46
ENSG00000227775		31	34	7	49	67	31	19	14
SLC35E2A		22	89	43	48	145	66	18	44
NADK		364	1344	384	556	2320	1022	869	655
GNB1		1384	3195	878	1767	4833	2694	1866	1973
GNB1-DT		4	15	8	6	6	0	16	0
CALML6		0	0	0	10	4	0	0	0
TMEM52		10	0	4	4	0	22	2	30
CFAP74		0	0	0	0	0	0	0	0
PRKCZ		6	0	22	0	0	2	0	0
PRKCZ-AS1		0	0	0	0	0	8	12	0
FAAP20		468	725	147	267	727	522	429	333
ENSG00000234396		0	0	0	2	0	0	0	0
SKI		606	1053	185	653	1412	830	580	565
MORN1		74	249	28	98	371	147	53	67
ENSG00000272161		0	0	0	0	0	0	0	28
ENSG00000269896		0	30	0	10	19	4	12	14
ENSG00000272420		2	0	0	0	17	20	2	0
RER1		355	927	228	532	1391	860	669	396
PEX10		181	320	148	259	753	475	375	178
PLCH2		0	0	0	0	0	2	0	0
PANK4		1	32	3	65	3	6	1	2
HES5		2	0	0	0	0	0	0	0
ENSG00000272449		0	0	0	0	1	0	0	0
TNFRSF14-AS1		2	0	0	0	4	0	0	6
TNFRSF14		22	13	4	4	30	26	51	21
ENSG00000228037		0	14	0	0	0	0	0	0
PRXL2B		72	233	85	74	482	283	136	221
PRDM16		29	70	0	72	7	20	0	10
ENSG00000279839		0	0	0	0	0	0	0	0
ARHGEF16		335	544	117	440	888	597	473	224
ENSG00000272088		0	0	2	0	0	8	16	3
MEGF6		1301	15984	3564	1521	22563	7023	10908	4788
ENSG00000238260		26	2	0	0	0	10	6	0
TPRG1L		273	1002	154	500	1188	636	730	421
WRAP73		96	240	72	55	324	166	285	74
TP73		4	2	0	0	0	0	0	0
GFOD3P		26	107	8	42	77	39	35	87
CCDC27		0	0	0	0	22	6	0	0
SMIM1		94	234	38	57	360	132	128	185
LRRC47		308	612	264	601	1330	872	650	497
RN7SL574P		0	0	0	0	14	0	0	0
ENSG00000272153		8	0	0	0	26	0	2	6
CEP104		219	568	133	357	997	482	350	291
DFFB		62	80	6	66	64	72	13	72
C1orf174		212	402	42	223	320	274	166	221
LINC01134		54	78	6	61	62	6	42	21
NPHP4		201	419	128	218	514	405	205	151
KCNAB2		537	1059	302	535	1725	1092	437	545
CHD5		23	20	4	47	68	44	7	10
RPL22		397	644	237	592	1447	795	516	412
RNF207-AS1		7	13	4	0	14	0	0	0
RNF207		286	789	70	471	838	413	703	547
ICMT		316	584	247	472	1179	647	259	438
ICMT-DT		2	0	26	0	0	4	0	14
HES3		0	14	0	0	0	0	0	0
GPR153		657	2361	793	1020	4382	1513	1724	1190
ACOT7		225	522	60	215	635	306	422	191
HES2		56	283	69	69	380	148	168	118
ESPN		0	16	32	0	46	6	4	6
TNFRSF25		56	91	0	14	26	28	90	32
PLEKHG5		55	300	38	124	292	191	246	158
NOL9		174	304	118	348	550	395	258	145
RNU6-731P		1	4	0	0	0	0	0	0
ENSG00000229519		0	7	0	1	16	0	7	0
TAS1R1		0	8	0	6	10	0	0	0
ZBTB48		162	329	98	221	512	368	307	148
KLHL21		979	3870	639	1510	5213	2573	2571	1406
PHF13		171	384	114	313	788	234	383	230
THAP3		117	264	50	92	298	161	81	50
DNAJC11		122	436	82	173	377	367	207	117
CAMTA1-DT		0	0	0	0	4	0	0	0
CAMTA1		224	278	132	235	598	299	245	277
ENSG00000227950		0	0	0	0	0	0	0	0
CAMTA1-AS2		0	0	0	0	0	0	0	0
VAMP3		171	427	109	311	805	449	364	227
ENSG00000269925		0	33	0	0	14	0	0	0
PER3		40	34	4	40	112	36	31	8
UTS2		10	4	0	0	4	10	0	0
TNFRSF9		0	0	0	2	0	6	30	0
PARK7		431	803	193	682	1914	928	522	567
ERRFI1		3423	6173	2433	4101	13095	6757	4558	3639
ERRFI1-DT		48	58	10	36	99	29	6	45
