Geneid	D18_R1_ACATCG.bam	D18_R1_ATTGGC.bam	D18_R1_CACTGT.bam	D18_R1_CGTGAT.bam	D18_R1_GATCTG.bam	D18_R1_GCCTAA.bam	D18_R1_TCAAGT.bam	D18_R1_TGGTCA.bam	D916_R1_ACATCG.bam	D916_R1_ATTGGC.bam	D916_R1_CACTGT.bam	D916_R1_CGTGAT.bam	D916_R1_GATCTG.bam	D916_R1_GCCTAA.bam	D916_R1_TCAAGT.bam	D916_R1_TGGTCA.bam
ENSG00000223972.5	0	0	0	0	1	1	2	0	0	0	0	6	0	1	0	0
ENSG00000227232.5	2	14	2	36	23	40	47	11	70	173	71	116	301	215	117	63
ENSG00000278267.1	7	0	0	1	0	0	1	0	4	24	0	59	17	0	19	0
ENSG00000243485.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274890.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.4	0	1	0	0	0	0	0	0	0	0	0	3	0	0	3	0
ENSG00000239945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750.3	0	0	0	0	0	2	3	0	0	1	0	0	1	0	7	1
ENSG00000268903.1	5	0	0	0	3	25	5	1	1	0	0	0	4	5	0	0
ENSG00000269981.1	0	0	0	2	2	1	17	0	0	0	0	0	0	0	0	0
ENSG00000239906.1	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000241860.4	0	2	1	5	6	4	0	8	1	1	0	0	0	7	2	2
ENSG00000222623.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000279928.1	0	0	0	0	0	0	0	0	9	0	0	0	1	18	0	0
ENSG00000279457.1	12	39	10	49	25	48	37	12	78	103	28	86	204	93	104	68
ENSG00000273874.1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0
ENSG00000275135.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463.6	2	0	0	0	16	0	1	0	13	33	0	62	3	2	3	0
ENSG00000241670.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679.2	0	5	0	0	0	0	0	1	0	2	1	0	0	0	0	0
ENSG00000236743.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000237094.9	4	9	0	2	12	6	6	1	8	0	0	12	6	0	0	11
ENSG00000269732.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278566.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224813.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653.3	0	9	0	7	2	3	0	2	0	1	0	11	4	0	7	3
ENSG00000250575.1	1	2	0	0	6	12	2	0	1	9	1	0	1	5	0	5
ENSG00000278757.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231709.1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235146.2	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0
ENSG00000239664.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021.5	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0
ENSG00000223659.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972.1	0	0	0	0	1	1	4	0	18	11	7	12	58	73	11	10
