	Control	15c	15c	Control	15an	15a	15an	15a
ENSG00000162591.13	1301	15984	3564	1521	22563	7023	10908	4788
ENSG00000132879.11	16	195	24	25	359	230	94	228
ENSG00000162692.8	130	1506	293	324	2256	1041	1398	674
ENSG00000174502.16	45	2	0	82	0	0	0	0
ENSG00000117724.10	964	550	120	988	564	649	400	504
ENSG00000138061.9	1004	27693	4879	1434	42352	12522	22345	9624
ENSG00000232973.9	8	795	153	27	1072	243	646	180
ENSG00000115904.10	575	4539	717	697	7985	2351	4406	1847
ENSG00000168874.10	298	1357	763	503	3909	1848	1603	802
ENSG00000138411.8	12	262	158	17	532	152	269	81
ENSG00000241635.5	175	1649	244	139	2010	739	1063	513
ENSG00000114812.10	10	405	54	0	783	170	479	63
ENSG00000154165.4	0	282	85	4	517	90	282	138
ENSG00000047457.11	1120	1104	276	1294	1395	979	736	585
ENSG00000163659.10	259	2463	481	252	4874	1485	1986	618
ENSG00000196542.6	386	387	112	487	473	312	181	156
ENSG00000180801.12	534	334	87	774	455	457	157	194
ENSG00000225138.5	362	3298	630	554	4291	1662	1927	1196
ENSG00000066230.8	87	520	163	32	680	361	355	274
ENSG00000112769.16	87	740	187	116	1100	464	627	379
ENSG00000165272.12	320	2552	561	321	4346	1375	2039	797
ENSG00000186193.8	839	723	201	1104	1208	832	437	481
ENSG00000197142.8	162	756	178	136	1523	594	530	431
ENSG00000182704.7	649	4606	975	1068	6971	2889	3404	1930
ENSG00000089127.10	201	2519	739	392	4064	1096	1858	891
ENSG00000188549.10	232	1237	442	405	2370	1110	746	701
ENSG00000186417.11	229	1423	307	308	2940	1272	1234	764
ENSG00000140465.11	47	17914	3818	126	35587	7398	17179	6922
ENSG00000179889.16	10	86	74	17	286	236	315	129
ENSG00000169627.7	128	23	2	139	11	6	20	5
ENSG00000103257.6	2628	20651	4002	3137	46556	10372	17656	6642
ENSG00000108602.15	2413	12627	4783	3170	32688	13471	9010	6222
ENSG00000060566.11	251	3493	803	535	4114	1983	3266	1530
ENSG00000105088.6	2	92	51	7	426	110	162	83
ENSG00000099337.3	39	900	104	57	973	388	658	285
ENSG00000019186.7	450	1511	281	723	3428	1809	2632	1537
ENSG00000100196.8	8	205	34	16	238	117	238	95
ENSG00000188064.7	211	892	235	183	1972	921	1117	587
ENSG00000186951.14	206	1352	439	296	1990	939	1153	594
ENSG00000102312.18	72	839	228	204	1275	511	587	405
ENSG00000117399.11	363	302	117	531	636	593	226	401
ENSG00000142945.10	297	226	50	488	481	412	139	254
ENSG00000117226.9	64	415	103	79	773	273	274	208
ENSG00000203814.6	576	605	131	787	1078	729	296	492
ENSG00000143401.12	966	629	221	969	1133	1114	607	825
ENSG00000143375.12	533	584	131	845	955	820	183	491
ENSG00000183856.8	1228	959	321	1654	1703	1526	560	1283
ENSG00000073756.9	142	1347	183	142	1260	363	1277	495
ENSG00000066279.14	719	503	82	757	617	710	277	589
ENSG00000118193.9	325	293	35	348	313	346	189	283
ENSG00000117650.10	438	304	67	381	425	314	142	231
ENSG00000092969.9	370	163	84	595	435	341	118	231
ENSG00000143815.12	301	313	55	388	360	424	189	329
ENSG00000171848.11	221	166	67	347	312	387	136	184
ENSG00000138029.11	197	1040	390	230	1565	785	452	347
ENSG00000115226.7	129	593	125	108	837	431	341	253
ENSG00000170485.14	144	1055	187	222	1400	421	908	434
ENSG00000115457.7	1128	1218	247	1535	1618	1440	669	818
ENSG00000178038.14	159	633	275	268	1364	558	628	376
ENSG00000114737.13	148	114	14	244	117	178	78	61
ENSG00000168237.15	1117	6719	1654	1731	9201	4169	4285	2838
ENSG00000144852.14	4	104	27	10	140	42	92	82
ENSG00000273033.2	0	221	72	12	205	45	96	30
ENSG00000163870.12	373	1529	450	434	3659	1048	1441	786
ENSG00000113810.13	403	353	80	460	420	561	265	286
ENSG00000114346.11	708	527	149	874	812	849	335	219
ENSG00000013810.16	764	774	184	879	1223	1026	410	512
ENSG00000124882.3	288	1352	387	350	2788	1019	1554	635
ENSG00000185477.4	36	16	2	182	32	36	2	24
ENSG00000145386.7	384	362	59	517	649	492	192	226
ENSG00000249609.1	0	63	8	0	33	28	32	6
ENSG00000164104.9	1015	888	293	1631	1596	1306	572	707
ENSG00000063438.14	60	343	92	41	561	222	268	60
ENSG00000113504.17	80	1171	147	210	1317	413	809	413
ENSG00000213949.6	248	244	68	560	402	260	229	213
ENSG00000171617.11	615	453	87	600	925	506	150	360
ENSG00000113368.9	292	321	110	655	685	644	194	340
ENSG00000164611.10	254	115	41	455	282	405	88	139
ENSG00000214357.6	116	70	8	306	67	100	8	82
ENSG00000161011.17	7625	53629	10194	11251	48655	25827	32342	23877
ENSG00000112312.7	194	85	31	266	174	282	49	191
ENSG00000274267.1	1056	853	200	1451	1648	1845	615	1041
