,x
1,ENSG00000142611.14
2,ENSG00000162591.13
3,ENSG00000132879.11
4,ENSG00000142677.3
5,ENSG00000117632.18
6,ENSG00000121769.5
7,ENSG00000134668.10
8,ENSG00000117399.11
9,ENSG00000142945.10
10,ENSG00000169174.10
11,ENSG00000234383.1
12,ENSG00000117226.9
13,ENSG00000162692.8
14,ENSG00000121957.10
15,ENSG00000168679.15
16,ENSG00000203814.6
17,ENSG00000203811.1
18,ENSG00000203852.3
19,ENSG00000184270.4
20,ENSG00000143401.12
21,ENSG00000143375.12
22,ENSG00000185499.14
23,ENSG00000183856.8
24,ENSG00000143320.6
25,ENSG00000213085.7
26,ENSG00000120334.13
27,ENSG00000073756.9
28,ENSG00000066279.14
29,ENSG00000118193.9
30,ENSG00000174502.16
31,ENSG00000117650.10
32,ENSG00000117724.10
33,ENSG00000092969.9
34,ENSG00000143815.12
35,ENSG00000171848.11
36,ENSG00000138029.11
37,ENSG00000115226.7
38,ENSG00000084734.6
39,ENSG00000075426.9
40,ENSG00000138061.9
41,ENSG00000232973.9
42,ENSG00000115904.10
43,ENSG00000236824.1
44,ENSG00000168874.10
45,ENSG00000170485.14
46,ENSG00000073737.14
47,ENSG00000138411.8
48,ENSG00000115457.7
49,ENSG00000168955.3
50,ENSG00000241635.5
51,ENSG00000134070.4
52,ENSG00000114812.10
53,ENSG00000178038.14
54,ENSG00000012171.15
55,ENSG00000114737.13
56,ENSG00000168237.15
57,ENSG00000114841.15
58,ENSG00000206538.5
59,ENSG00000154165.4
60,ENSG00000144852.14
61,ENSG00000138463.8
62,ENSG00000273033.2
63,ENSG00000163870.12
64,ENSG00000047457.11
65,ENSG00000163659.10
66,ENSG00000197980.9
67,ENSG00000113810.13
68,ENSG00000196542.6
69,ENSG00000114346.11
70,ENSG00000163923.7
71,ENSG00000013810.16
72,ENSG00000124882.3
73,ENSG00000138678.8
74,ENSG00000185477.4
75,ENSG00000138778.9
76,ENSG00000180801.12
77,ENSG00000145386.7
78,ENSG00000170006.9
79,ENSG00000137460.6
80,ENSG00000109654.12
81,ENSG00000249609.1
82,ENSG00000164104.9
83,ENSG00000063438.14
84,ENSG00000225138.5
85,ENSG00000066230.8
86,ENSG00000113504.17
87,ENSG00000113594.7
88,ENSG00000213949.6
89,ENSG00000134057.12
90,ENSG00000171617.11
91,ENSG00000113368.9
92,ENSG00000112984.9
93,ENSG00000113657.10
94,ENSG00000164611.10
95,ENSG00000214357.6
96,ENSG00000161011.17
97,ENSG00000112312.7
98,ENSG00000275714.1
99,ENSG00000274267.1
100,ENSG00000124635.8
101,ENSG00000196787.3
102,ENSG00000274997.1
103,ENSG00000185130.5
104,ENSG00000276368.1
105,ENSG00000233822.4
106,ENSG00000184357.4
107,ENSG00000274641.1
108,ENSG00000275550.1
109,ENSG00000153292.13
110,ENSG00000112742.7
111,ENSG00000203801.6
112,ENSG00000112769.16
113,ENSG00000146376.8
114,ENSG00000131016.14
115,ENSG00000146477.5
116,ENSG00000164638.8
117,ENSG00000226598.1
118,ENSG00000011426.8
119,ENSG00000146678.7
120,ENSG00000230882.1
121,ENSG00000004799.7
122,ENSG00000105974.9
123,ENSG00000128591.13
124,ENSG00000106462.8
125,ENSG00000204876.4
126,ENSG00000146918.17
127,ENSG00000184661.11
128,ENSG00000168077.11
129,ENSG00000170786.10
130,ENSG00000137563.9
131,ENSG00000104361.7
132,ENSG00000104450.10
133,ENSG00000156802.10
134,ENSG00000165272.12
135,ENSG00000119125.14
136,ENSG00000165105.9
137,ENSG00000165244.6
138,ENSG00000081377.14
139,ENSG00000119403.11
140,ENSG00000119397.14
141,ENSG00000227218.5
142,ENSG00000167106.9
143,ENSG00000136811.14
144,ENSG00000119333.9
145,ENSG00000160323.16
146,ENSG00000244187.5
147,ENSG00000148362.8
148,ENSG00000186193.8
149,ENSG00000198435.3
150,ENSG00000148426.10
151,ENSG00000107984.7
152,ENSG00000138182.12
153,ENSG00000138160.5
154,ENSG00000138180.13
155,ENSG00000197142.8
156,ENSG00000148773.10
157,ENSG00000215182.8
158,ENSG00000130600.13
159,ENSG00000050165.15
160,ENSG00000134824.11
161,ENSG00000149503.10
162,ENSG00000168003.14
163,ENSG00000146670.7
164,ENSG00000006534.13
165,ENSG00000132749.8
166,ENSG00000182704.7
167,ENSG00000137501.14
168,ENSG00000110723.9
169,ENSG00000110244.6
170,ENSG00000134955.9
171,ENSG00000151715.5
172,ENSG00000111206.10
173,ENSG00000010292.10
174,ENSG00000111665.9
175,ENSG00000256663.1
176,ENSG00000172602.7
177,ENSG00000135451.10
178,ENSG00000185432.11
179,ENSG00000135476.9
180,ENSG00000166881.7
181,ENSG00000182379.9
182,ENSG00000221949.4
183,ENSG00000049130.11
184,ENSG00000120833.11
185,ENSG00000074527.9
186,ENSG00000139354.8
187,ENSG00000166046.8
188,ENSG00000089127.10
189,ENSG00000186815.10
190,ENSG00000257035.1
191,ENSG00000280208.1
192,ENSG00000279124.1
193,ENSG00000235097.1
194,ENSG00000185989.10
195,ENSG00000126787.10
196,ENSG00000119686.7
197,ENSG00000156381.6
198,ENSG00000104081.11
199,ENSG00000188549.10
200,ENSG00000166145.12
201,ENSG00000137804.10
202,ENSG00000137860.9
203,ENSG00000186417.11
204,ENSG00000137807.11
205,ENSG00000140465.11
206,ENSG00000103653.14
207,ENSG00000166825.11
208,ENSG00000184207.8
209,ENSG00000179889.16
210,ENSG00000170540.12
211,ENSG00000166851.12
212,ENSG00000174943.7
213,ENSG00000169627.7
214,ENSG00000171241.6
215,ENSG00000103089.6
216,ENSG00000103257.6
217,ENSG00000261253.2
218,ENSG00000230201.5
219,ENSG00000225751.2
220,ENSG00000072210.16
221,ENSG00000108602.15
222,ENSG00000076382.14
223,ENSG00000131759.15
224,ENSG00000171345.11
225,ENSG00000187595.12
226,ENSG00000267632.1
227,ENSG00000186185.11
228,ENSG00000068489.10
229,ENSG00000182481.6
230,ENSG00000108984.11
231,ENSG00000125398.5
232,ENSG00000161544.7
233,ENSG00000167900.9
234,ENSG00000089685.12
235,ENSG00000266970.1
236,ENSG00000169710.6
237,ENSG00000176890.13
238,ENSG00000080986.10
239,ENSG00000279962.1
240,ENSG00000141441.13
241,ENSG00000099812.7
242,ENSG00000060566.11
243,ENSG00000276043.2
244,ENSG00000105088.6
245,ENSG00000130513.6
246,ENSG00000089639.8
247,ENSG00000099337.3
248,ENSG00000105499.11
249,ENSG00000087074.7
250,ENSG00000231274.5
251,ENSG00000125780.11
252,ENSG00000089057.12
253,ENSG00000188559.11
254,ENSG00000101003.9
255,ENSG00000088325.13
256,ENSG00000101057.13
257,ENSG00000175063.14
258,ENSG00000019186.7
259,ENSG00000101210.8
260,ENSG00000275993.2
261,ENSG00000278775.1
262,ENSG00000235609.6
263,ENSG00000160181.6
264,ENSG00000185022.9
265,ENSG00000100196.8
266,ENSG00000159307.16
267,ENSG00000188064.7
268,ENSG00000186951.14
269,ENSG00000068438.12
270,ENSG00000102312.18
271,ENSG00000090889.11
272,ENSG00000101842.11
