Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0051301,cell division,19_GO:0009987 cellular process,-25,20,21,30284,522,73,25,34,5.6,332|890|991|1063|1894|4751|5347|7042|9232|9585|9928|10051|10460|11004|11065|22974|51203|54443|55165|83461|89958|128239|146909|157313|259266,BIRC5|CCNA2|CDC20|CENPF|ECT2|NEK2|PLK1|TGFB2|PTTG1|KIF20B|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|NUSAP1|ANLN|CEP55|CDCA3|SAPCD2|IQGAP3|KIF18B|CDCA2|ASPM,-21,MyList
GO Biological Processes,19,GO:1903047,mitotic cell cycle process,19_GO:0009987 cellular process,-21,17,19,30284,523,73,22,30,5.4,332|890|991|1063|1894|4751|5347|9787|9837|9928|10051|10460|11004|11065|22974|29128|51203|54443|55165|89958|128239|146909,BIRC5|CCNA2|CDC20|CENPF|ECT2|NEK2|PLK1|DLGAP5|GINS1|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|ANLN|CEP55|SAPCD2|IQGAP3|KIF18B,-17,MyList
GO Biological Processes,19,GO:0000278,mitotic cell cycle,19_GO:0009987 cellular process,-20,15,17,30284,603,73,22,30,5.4,332|890|991|1063|1894|4751|5347|9787|9837|9928|10051|10460|11004|11065|22974|29128|51203|54443|55165|89958|128239|146909,BIRC5|CCNA2|CDC20|CENPF|ECT2|NEK2|PLK1|DLGAP5|GINS1|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|ANLN|CEP55|SAPCD2|IQGAP3|KIF18B,-16,MyList
GO Biological Processes,19,GO:0007059,chromosome segregation,19_GO:0009987 cellular process,-17,21,18,30284,335,73,17,23,4.9,332|991|1063|4288|4751|5347|9232|9787|9928|10051|11004|22974|29128|51203|146909|157313|259266,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B|CDCA2|ASPM,-14,MyList
GO Biological Processes,19,GO:0098813,nuclear chromosome segregation,19_GO:0009987 cellular process,-17,27,19,30284,234,73,15,21,4.7,332|991|1063|4751|5347|9232|9787|9928|10051|11004|22974|29128|51203|146909|259266,BIRC5|CDC20|CENPF|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B|ASPM,-13,MyList
GO Biological Processes,19,GO:0140014,mitotic nuclear division,19_GO:0009987 cellular process,-16,32,20,30284,168,73,13,18,4.5,332|991|4751|5347|9787|9928|10051|11004|11065|22974|29128|51203|146909,BIRC5|CDC20|NEK2|PLK1|DLGAP5|KIF14|SMC4|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|KIF18B,-12,MyList
GO Biological Processes,19,GO:0000070,mitotic sister chromatid segregation,19_GO:0009987 cellular process,-15,35,20,30284,142,73,12,16,4.3,332|991|4751|5347|9787|9928|10051|11004|22974|29128|51203|146909,BIRC5|CDC20|NEK2|PLK1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B,-12,MyList
Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-15,15,15,30284,475,73,17,23,4.9,890|991|1063|3930|4001|4751|5347|6241|7298|8340|9232|9837|10051|11004|11065|22974|51053,CCNA2|CDC20|CENPF|LBR|LMNB1|NEK2|PLK1|RRM2|TYMS|H2BC13|PTTG1|GINS1|SMC4|KIF2C|UBE2C|TPX2|GMNN,-12,MyList
GO Biological Processes,19,GO:0000280,nuclear division,19_GO:0009987 cellular process,-15,19,16,30284,320,73,15,21,4.7,332|991|4751|5347|9232|9787|9928|10051|11004|11065|22974|29128|51203|146909|259266,BIRC5|CDC20|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|KIF18B|ASPM,-12,MyList
GO Biological Processes,19,GO:0000819,sister chromatid segregation,19_GO:0009987 cellular process,-15,34,20,30284,146,73,12,16,4.3,332|991|4751|5347|9787|9928|10051|11004|22974|29128|51203|146909,BIRC5|CDC20|NEK2|PLK1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B,-12,MyList
GO Biological Processes,19,GO:0051276,chromosome organization,19_GO:0009987 cellular process,-14,14,14,30284,511,73,17,23,4.9,332|991|1063|3009|3148|4751|5347|9232|9787|9837|9928|10051|11004|22974|29128|51203|146909,BIRC5|CDC20|CENPF|H1-5|HMGB2|NEK2|PLK1|PTTG1|DLGAP5|GINS1|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B,-11,MyList
GO Biological Processes,19,GO:0048285,organelle fission,19_GO:0009987 cellular process,-14,18,16,30284,348,73,15,21,4.7,332|991|4751|5347|9232|9787|9928|10051|11004|11065|22974|29128|51203|146909|259266,BIRC5|CDC20|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|KIF18B|ASPM,-11,MyList
GO Biological Processes,19,GO:0007088,regulation of mitotic nuclear division,19_GO:0050789 regulation of biological process,-14,38,20,30284,121,73,11,15,4.2,332|991|1063|4288|4751|5347|9585|9787|11065|51203|157313,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|KIF20B|DLGAP5|UBE2C|NUSAP1|CDCA2,-11,MyList
GO Biological Processes,19,GO:0010564,regulation of cell cycle process,19_GO:0050789 regulation of biological process,-14,10,13,30284,776,73,19,26,5.1,332|991|1063|1894|4288|4751|5347|6241|9585|9787|9928|10051|10460|11004|11065|22974|51203|54443|157313,BIRC5|CDC20|CENPF|ECT2|MKI67|NEK2|PLK1|RRM2|KIF20B|DLGAP5|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|NUSAP1|ANLN|CDCA2,-10,MyList
GO Biological Processes,19,GO:0051983,regulation of chromosome segregation,19_GO:0050789 regulation of biological process,-14,33,19,30284,137,73,11,15,4.2,332|991|1063|4288|5347|9787|10051|10460|11004|11065|157313,BIRC5|CDC20|CENPF|MKI67|PLK1|DLGAP5|SMC4|TACC3|KIF2C|UBE2C|CDCA2,-10,MyList
Reactome Gene Sets,6,R-HSA-1640170,Cell Cycle,,-13,12,13,30284,584,73,17,23,4.9,890|991|1063|3930|4001|4751|5347|6241|7298|8340|9232|9837|10051|11004|11065|22974|51053,CCNA2|CDC20|CENPF|LBR|LMNB1|NEK2|PLK1|RRM2|TYMS|H2BC13|PTTG1|GINS1|SMC4|KIF2C|UBE2C|TPX2|GMNN,-10,MyList
GO Biological Processes,19,GO:0051783,regulation of nuclear division,19_GO:0050789 regulation of biological process,-13,31,18,30284,147,73,11,15,4.2,332|991|1063|4288|4751|5347|9585|9787|11065|51203|157313,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|KIF20B|DLGAP5|UBE2C|NUSAP1|CDCA2,-10,MyList
GO Biological Processes,19,GO:1902850,microtubule cytoskeleton organization involved in mitosis,19_GO:0009987 cellular process,-12,31,17,30284,135,73,10,14,4,332|991|4751|5347|9787|10460|22974|29128|51203|89958,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|TPX2|UHRF1|NUSAP1|SAPCD2,-8.9,MyList
GO Biological Processes,19,GO:0007346,regulation of mitotic cell cycle,19_GO:0050789 regulation of biological process,-12,12,12,30284,533,73,15,21,4.7,332|991|1063|4288|4751|5347|6241|9585|9787|9928|11065|51053|51203|54443|157313,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|RRM2|KIF20B|DLGAP5|KIF14|UBE2C|GMNN|NUSAP1|ANLN|CDCA2,-8.6,MyList
GO Biological Processes,19,GO:0000226,microtubule cytoskeleton organization,19_GO:0009987 cellular process,-11,11,12,30284,578,73,15,21,4.7,332|991|4751|5347|9787|10460|11004|22974|29128|51203|57530|89958|146909|259266|283431,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|KIF2C|TPX2|UHRF1|NUSAP1|CGN|SAPCD2|KIF18B|ASPM|GAS2L3,-8.1,MyList
