_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.9,GO:0033048,negative regulation of mitotic sister chromatid segregation,M1,1,0
1,-5.8,R-HSA-2467813,Separation of Sister Chromatids,M1,1,0
1,-6.7,R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,M1,1,0
1,-4,GO:1903046,meiotic cell cycle process,M1,1,0
1,-10,GO:0007052,mitotic spindle organization,M1,1,0
1,-4.8,GO:0051443,positive regulation of ubiquitin-protein transferase activity,M1,1,0
1,-2.3,GO:0043009,chordate embryonic development,M1,1,0
1,-3.5,GO:1901875,positive regulation of post-translational protein modification,M1,1,0
1,-4.9,R-HSA-8980692,RHOA GTPase cycle,M1,1,0
1,-5.8,GO:1905819,negative regulation of chromosome separation,M1,1,0
1,-2.6,GO:0010389,regulation of G2/M transition of mitotic cell cycle,M1,1,0
1,-2.3,GO:0010498,proteasomal protein catabolic process,M1,1,0
1,-5.6,GO:0071824,protein-DNA complex organization,M1,1,0
1,-15,GO:0000070,mitotic sister chromatid segregation,M1,1,0
1,-14,GO:0051276,chromosome organization,M1,1,0
1,-7,GO:0030071,regulation of mitotic metaphase/anaphase transition,M1,1,0
1,-2.2,GO:0002573,myeloid leukocyte differentiation,M1,1,0
1,-17,GO:0007059,chromosome segregation,M1,1,0
1,-2.5,R-HSA-8856688,Golgi-to-ER retrograde transport,M1,1,0
1,-3.1,GO:0046425,regulation of receptor signaling pathway via JAK-STAT,M1,1,0
1,-4.2,GO:0001934,positive regulation of protein phosphorylation,M1,1,0
1,-7.9,GO:1905820,positive regulation of chromosome separation,M1,1,0
1,-2.8,GO:0045666,positive regulation of neuron differentiation,M1,1,0
1,-2.7,hsa05166,Human T-cell leukemia virus 1 infection,M1,1,0
1,-13,GO:0051783,regulation of nuclear division,M1,1,0
1,-3.9,GO:0051338,regulation of transferase activity,M1,1,0
1,-2.4,GO:0097529,myeloid leukocyte migration,M1,1,0
1,-2.2,GO:1904375,regulation of protein localization to cell periphery,M1,1,0
1,-5.3,M129,PID PLK1 PATHWAY,M1,1,0
1,-12,GO:1902850,microtubule cytoskeleton organization involved in mitosis,M1,1,0
1,-2.8,GO:0045860,positive regulation of protein kinase activity,M1,1,0
1,-3.7,WP2848,Pluripotent stem cell differentiation pathway,M1,1,0
1,-3.1,M40,PID E2F PATHWAY,M1,1,0
1,-3.4,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-21,GO:1903047,mitotic cell cycle process,M1,1,0
1,-13,R-HSA-1640170,Cell Cycle,M1,1,0
1,-2.6,GO:0045137,development of primary sexual characteristics,M1,1,0
1,-14,GO:0051983,regulation of chromosome segregation,M1,1,0
1,-2.6,hsa04820,Cytoskeleton in muscle cells,M1,1,0
1,-2.6,GO:0008406,gonad development,M1,1,0
1,-2.8,GO:0031396,regulation of protein ubiquitination,M1,1,0
1,-3.8,GO:0060236,regulation of mitotic spindle organization,M1,1,0
1,-2.7,GO:0033674,positive regulation of kinase activity,M1,1,0
1,-4.4,R-HSA-453274,Mitotic G2-G2/M phases,M1,1,0
1,-2.3,M145,PID P53 DOWNSTREAM PATHWAY,M1,1,0
1,-4.9,R-HSA-9013026,RHOB GTPase cycle,M1,1,0
1,-2.2,R-HSA-983231,Factors involved in megakaryocyte development and platelet production,M1,1,0
1,-5.8,GO:0051985,negative regulation of chromosome segregation,M1,1,0
1,-6.1,GO:0071173,spindle assembly checkpoint signaling,M1,1,0
1,-5.1,R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,M1,1,0
1,-5.6,WP2446,Retinoblastoma gene in cancer,M1,1,0
1,-2.6,GO:0001824,blastocyst development,M1,1,0
1,-3.5,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,M1,1,0
1,-6,GO:0031577,spindle checkpoint signaling,M1,1,0
1,-9.1,R-HSA-68886,M Phase,M1,1,0
1,-2.5,GO:1903320,regulation of protein modification by small protein conjugation or removal,M1,1,0
1,-4,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,M1,1,0
1,-4.3,GO:2001251,negative regulation of chromosome organization,M1,1,0
1,-5,GO:0007076,mitotic chromosome condensation,M1,1,0
1,-4,GO:0070647,protein modification by small protein conjugation or removal,M1,1,0
1,-5.5,GO:0030261,chromosome condensation,M1,1,0
1,-4.1,GO:0040029,epigenetic regulation of gene expression,M1,1,0
1,-5.5,GO:0032465,regulation of cytokinesis,M1,1,0
1,-2.1,GO:0097190,apoptotic signaling pathway,M1,1,0
1,-2.3,GO:0003018,vascular process in circulatory system,M1,1,0
1,-2.6,GO:0045930,negative regulation of mitotic cell cycle,M1,1,0
1,-2.7,GO:0045732,positive regulation of protein catabolic process,M1,1,0
1,-8.1,GO:0033045,regulation of sister chromatid segregation,M1,1,0
1,-2.9,WP2840,Hair follicle development cytodifferentiation stage 3 of 3,M1,1,0
1,-2.9,GO:1901991,negative regulation of mitotic cell cycle phase transition,M1,1,0
1,-5,GO:0042327,positive regulation of phosphorylation,M1,1,0
1,-5,GO:0031401,positive regulation of protein modification process,M1,1,0
1,-4.1,R-HSA-69239,Synthesis of DNA,M1,1,0
1,-2.9,hsa04814,Motor proteins,M1,1,0
1,-3.5,GO:0044839,cell cycle G2/M phase transition,M1,1,0
1,-2.6,WP3391,Senescence associated secretory phenotype SASP,M1,1,0
1,-9.1,GO:1905818,regulation of chromosome separation,M1,1,0
1,-4.4,R-HSA-69275,G2/M Transition,M1,1,0
1,-3.1,GO:0140013,meiotic nuclear division,M1,1,0
1,-6.1,GO:0007094,mitotic spindle assembly checkpoint signaling,M1,1,0
1,-4.4,hsa04110,Cell cycle,M1,1,0
1,-5.9,GO:0033046,negative regulation of sister chromatid segregation,M1,1,0
1,-2.5,R-HSA-3214847,HATs acetylate histones,M1,1,0
1,-4.5,GO:0032446,protein modification by small protein conjugation,M1,1,0
1,-7.8,R-HSA-68882,Mitotic Anaphase,M1,1,0
