_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-25.304007408947456,GO:0051301,M1,1,0,GO Biological Processes,19,cell division,19_GO:0009987 cellular process,-25.304007408947456,19.868262215924002,21.37540865446064,30284,522,73,25,34.24657534246575,5.554005849858788,332|890|991|1063|1894|4751|5347|7042|9232|9585|9928|10051|10460|11004|11065|22974|51203|54443|55165|83461|89958|128239|146909|157313|259266,BIRC5|CCNA2|CDC20|CENPF|ECT2|NEK2|PLK1|TGFB2|PTTG1|KIF20B|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|NUSAP1|ANLN|CEP55|CDCA3|SAPCD2|IQGAP3|KIF18B|CDCA2|ASPM,-20.96067760586985,0,1,1,1,-25.304007408947456,40.67150147730325,
1,-20.915492132591403,GO:1903047,M1,1,0,GO Biological Processes,19,mitotic cell cycle process,19_GO:0009987 cellular process,-20.915492132591403,17.4506404044108,18.654697954173194,30284,523,73,22,30.136986301369863,5.370468063078708,332|890|991|1063|1894|4751|5347|9787|9837|9928|10051|10460|11004|11065|22974|29128|51203|54443|55165|89958|128239|146909,BIRC5|CCNA2|CDC20|CENPF|ECT2|NEK2|PLK1|DLGAP5|GINS1|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|ANLN|CEP55|SAPCD2|IQGAP3|KIF18B,-16.87319232517778,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-19.586357249188193,GO:0000278,M1,1,0,GO Biological Processes,19,mitotic cell cycle,19_GO:0009987 cellular process,-19.586357249188193,15.135464231354641,17.23486141022307,30284,603,73,22,30.136986301369863,5.370468063078708,332|890|991|1063|1894|4751|5347|9787|9837|9928|10051|10460|11004|11065|22974|29128|51203|54443|55165|89958|128239|146909,BIRC5|CCNA2|CDC20|CENPF|ECT2|NEK2|PLK1|DLGAP5|GINS1|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|ANLN|CEP55|SAPCD2|IQGAP3|KIF18B,-15.720148700830249,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-17.42734006776092,GO:0007059,M1,1,0,GO Biological Processes,19,chromosome segregation,19_GO:0009987 cellular process,-17.42734006776092,21.052054794520547,18.14130191931271,30284,335,73,17,23.28767123287671,4.946911990761921,332|991|1063|4288|4751|5347|9232|9787|9928|10051|11004|22974|29128|51203|146909|157313|259266,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B|CDCA2|ASPM,-13.686070256011275,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-16.886294369773672,GO:0098813,M1,1,0,GO Biological Processes,19,nuclear chromosome segregation,19_GO:0009987 cellular process,-16.886294369773672,26.592904812082892,19.31895361893789,30284,234,73,15,20.54794520547945,4.729065574793037,332|991|1063|4751|5347|9232|9787|9928|10051|11004|22974|29128|51203|146909|259266,BIRC5|CDC20|CENPF|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B|ASPM,-13.241934571032084,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-15.720814345780049,GO:0140014,M1,1,0,GO Biological Processes,19,mitotic nuclear division,19_GO:0009987 cellular process,-15.720814345780049,32.101435094585774,19.870772602568913,30284,168,73,13,17.80821917808219,4.4777826697119485,332|991|4751|5347|9787|9928|10051|11004|11065|22974|29128|51203|146909,BIRC5|CDC20|NEK2|PLK1|DLGAP5|KIF14|SMC4|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|KIF18B,-12.155635793086086,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-14.994456468537837,GO:0000070,M1,1,0,GO Biological Processes,19,mitotic sister chromatid segregation,19_GO:0009987 cellular process,-14.994456468537837,35.05768859733745,19.99639180216169,30284,142,73,12,16.438356164383563,4.337817238884327,332|991|4751|5347|9787|9928|10051|11004|22974|29128|51203|146909,BIRC5|CDC20|NEK2|PLK1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B,-11.50375146736071,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-14.860532770752288,GO:0000280,M1,1,0,GO Biological Processes,19,nuclear division,19_GO:0009987 cellular process,-14.860532770752288,19.446061643835613,16.306361966257356,30284,320,73,15,20.54794520547945,4.729065574793037,332|991|4751|5347|9232|9787|9928|10051|11004|11065|22974|29128|51203|146909|259266,BIRC5|CDC20|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|KIF18B|ASPM,-11.50375146736071,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-14.847081270438316,GO:0000819,M1,1,0,GO Biological Processes,19,sister chromatid segregation,19_GO:0009987 cellular process,-14.847081270438316,34.09720397823232,19.70556302706219,30284,146,73,12,16.438356164383563,4.337817238884327,332|991|4751|5347|9787|9928|10051|11004|22974|29128|51203|146909,BIRC5|CDC20|NEK2|PLK1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B,-11.50375146736071,0,1,0,0,-25.304007408947456,40.67150147730325,
1,-14.382603676272838,GO:0051276,M1,1,0,GO Biological Processes,19,chromosome organization,19_GO:0009987 cellular process,-14.382603676272838,13.801249229284508,14.34596715709248,30284,511,73,17,23.28767123287671,4.946911990761921,332|991|1063|3009|3148|4751|5347|9232|9787|9837|9928|10051|11004|22974|29128|51203|146909,BIRC5|CDC20|CENPF|H1-5|HMGB2|NEK2|PLK1|PTTG1|DLGAP5|GINS1|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B,-11.080666558353457,0,1,0,0,-25.304007408947456,40.67150147730325,
