Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0051301,cell division,19_GO:0009987 cellular process,-26,26,24,30284,522,52,23,44,6.9,332|890|991|1063|1894|4751|5347|9232|9585|9928|10051|10460|11004|11065|22974|51203|54443|55165|83461|128239|146909|157313|259266,BIRC5|CCNA2|CDC20|CENPF|ECT2|NEK2|PLK1|PTTG1|KIF20B|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|NUSAP1|ANLN|CEP55|CDCA3|IQGAP3|KIF18B|CDCA2|ASPM,-22
MyList,GO Biological Processes,19,GO:1903047,mitotic cell cycle process,19_GO:0009987 cellular process,-22,22,20,30284,523,52,20,38,6.7,332|890|991|1063|1894|4751|5347|9787|9928|10051|10460|11004|11065|22974|29128|51203|54443|55165|128239|146909,BIRC5|CCNA2|CDC20|CENPF|ECT2|NEK2|PLK1|DLGAP5|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|ANLN|CEP55|IQGAP3|KIF18B,-17
MyList,GO Biological Processes,19,GO:0000278,mitotic cell cycle,19_GO:0009987 cellular process,-20,19,19,30284,603,52,20,38,6.7,332|890|991|1063|1894|4751|5347|9787|9928|10051|10460|11004|11065|22974|29128|51203|54443|55165|128239|146909,BIRC5|CCNA2|CDC20|CENPF|ECT2|NEK2|PLK1|DLGAP5|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|ANLN|CEP55|IQGAP3|KIF18B,-17
MyList,GO Biological Processes,19,GO:0007059,chromosome segregation,19_GO:0009987 cellular process,-20,30,22,30284,335,52,17,33,6.5,332|991|1063|4288|4751|5347|9232|9787|9928|10051|11004|22974|29128|51203|146909|157313|259266,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B|CDCA2|ASPM,-17
MyList,GO Biological Processes,19,GO:0098813,nuclear chromosome segregation,19_GO:0009987 cellular process,-19,37,23,30284,234,52,15,29,6.3,332|991|1063|4751|5347|9232|9787|9928|10051|11004|22974|29128|51203|146909|259266,BIRC5|CDC20|CENPF|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B|ASPM,-16
MyList,GO Biological Processes,19,GO:0140014,mitotic nuclear division,19_GO:0009987 cellular process,-18,45,24,30284,168,52,13,25,6,332|991|4751|5347|9787|9928|10051|11004|11065|22974|29128|51203|146909,BIRC5|CDC20|NEK2|PLK1|DLGAP5|KIF14|SMC4|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|KIF18B,-14
MyList,GO Biological Processes,19,GO:0000280,nuclear division,19_GO:0009987 cellular process,-17,27,20,30284,320,52,15,29,6.3,332|991|4751|5347|9232|9787|9928|10051|11004|11065|22974|29128|51203|146909|259266,BIRC5|CDC20|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|KIF18B|ASPM,-14
MyList,GO Biological Processes,19,GO:0000070,mitotic sister chromatid segregation,19_GO:0009987 cellular process,-17,49,24,30284,142,52,12,23,5.8,332|991|4751|5347|9787|9928|10051|11004|22974|29128|51203|146909,BIRC5|CDC20|NEK2|PLK1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B,-13
MyList,GO Biological Processes,19,GO:0010564,regulation of cell cycle process,19_GO:0050789 regulation of biological process,-17,14,16,30284,776,52,19,37,6.7,332|991|1063|1894|4288|4751|5347|6241|9585|9787|9928|10051|10460|11004|11065|22974|51203|54443|157313,BIRC5|CDC20|CENPF|ECT2|MKI67|NEK2|PLK1|RRM2|KIF20B|DLGAP5|KIF14|SMC4|TACC3|KIF2C|UBE2C|TPX2|NUSAP1|ANLN|CDCA2,-13
MyList,GO Biological Processes,19,GO:0000819,sister chromatid segregation,19_GO:0009987 cellular process,-17,48,24,30284,146,52,12,23,5.8,332|991|4751|5347|9787|9928|10051|11004|22974|29128|51203|146909,BIRC5|CDC20|NEK2|PLK1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B,-13
MyList,GO Biological Processes,19,GO:0048285,organelle fission,19_GO:0009987 cellular process,-17,25,19,30284,348,52,15,29,6.3,332|991|4751|5347|9232|9787|9928|10051|11004|11065|22974|29128|51203|146909|259266,BIRC5|CDC20|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|UBE2C|TPX2|UHRF1|NUSAP1|KIF18B|ASPM,-13
MyList,Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-16,20,17,30284,475,52,16,31,6.4,890|991|1063|3930|4001|4751|5347|6241|7298|8340|9232|10051|11004|11065|22974|51053,CCNA2|CDC20|CENPF|LBR|LMNB1|NEK2|PLK1|RRM2|TYMS|H2BC13|PTTG1|SMC4|KIF2C|UBE2C|TPX2|GMNN,-13
MyList,GO Biological Processes,19,GO:0007088,regulation of mitotic nuclear division,19_GO:0050789 regulation of biological process,-16,53,24,30284,121,52,11,21,5.7,332|991|1063|4288|4751|5347|9585|9787|11065|51203|157313,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|KIF20B|DLGAP5|UBE2C|NUSAP1|CDCA2,-13
MyList,GO Biological Processes,19,GO:0051276,chromosome organization,19_GO:0009987 cellular process,-16,18,16,30284,511,52,16,31,6.4,332|991|1063|3009|3148|4751|5347|9232|9787|9928|10051|11004|22974|29128|51203|146909,BIRC5|CDC20|CENPF|H1-5|HMGB2|NEK2|PLK1|PTTG1|DLGAP5|KIF14|SMC4|KIF2C|TPX2|UHRF1|NUSAP1|KIF18B,-12
MyList,GO Biological Processes,19,GO:0051983,regulation of chromosome segregation,19_GO:0050789 regulation of biological process,-15,47,22,30284,137,52,11,21,5.7,332|991|1063|4288|5347|9787|10051|10460|11004|11065|157313,BIRC5|CDC20|CENPF|MKI67|PLK1|DLGAP5|SMC4|TACC3|KIF2C|UBE2C|CDCA2,-12
MyList,GO Biological Processes,19,GO:0051783,regulation of nuclear division,19_GO:0050789 regulation of biological process,-15,44,21,30284,147,52,11,21,5.7,332|991|1063|4288|4751|5347|9585|9787|11065|51203|157313,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|KIF20B|DLGAP5|UBE2C|NUSAP1|CDCA2,-12
MyList,Reactome Gene Sets,6,R-HSA-1640170,Cell Cycle,,-15,16,15,30284,584,52,16,31,6.4,890|991|1063|3930|4001|4751|5347|6241|7298|8340|9232|10051|11004|11065|22974|51053,CCNA2|CDC20|CENPF|LBR|LMNB1|NEK2|PLK1|RRM2|TYMS|H2BC13|PTTG1|SMC4|KIF2C|UBE2C|TPX2|GMNN,-12
MyList,GO Biological Processes,19,GO:0007346,regulation of mitotic cell cycle,19_GO:0050789 regulation of biological process,-14,16,15,30284,533,52,15,29,6.3,332|991|1063|4288|4751|5347|6241|9585|9787|9928|11065|51053|51203|54443|157313,BIRC5|CDC20|CENPF|MKI67|NEK2|PLK1|RRM2|KIF20B|DLGAP5|KIF14|UBE2C|GMNN|NUSAP1|ANLN|CDCA2,-11
MyList,GO Biological Processes,19,GO:0000226,microtubule cytoskeleton organization,19_GO:0009987 cellular process,-12,14,13,30284,578,52,14,27,6.2,332|991|4751|5347|9787|10460|11004|22974|29128|51203|57530|146909|259266|283431,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|KIF2C|TPX2|UHRF1|NUSAP1|CGN|KIF18B|ASPM|GAS2L3,-9.2
MyList,GO Biological Processes,19,GO:1902850,microtubule cytoskeleton organization involved in mitosis,19_GO:0009987 cellular process,-12,39,18,30284,135,52,9,17,5.2,332|991|4751|5347|9787|10460|22974|29128|51203,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|TPX2|UHRF1|NUSAP1,-8.8
MyList,GO Biological Processes,19,GO:0007052,mitotic spindle organization,19_GO:0009987 cellular process,-11,47,19,30284,99,52,8,15,5,332|991|4751|5347|9787|10460|22974|29128,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|TPX2|UHRF1,-8.2
MyList,GO Biological Processes,19,GO:0007051,spindle organization,19_GO:0009987 cellular process,-11,31,16,30284,169,52,9,17,5.2,332|991|4751|5347|9787|10460|22974|29128|259266,BIRC5|CDC20|NEK2|PLK1|DLGAP5|TACC3|TPX2|UHRF1|ASPM,-8
MyList,Reactome Gene Sets,6,R-HSA-68886,M Phase,,-11,18,13,30284,354,52,11,21,5.7,991|1063|3930|4001|4751|5347|8340|9232|10051|11004|11065,CDC20|CENPF|LBR|LMNB1|NEK2|PLK1|H2BC13|PTTG1|SMC4|KIF2C|UBE2C,-7.8
MyList,GO Biological Processes,19,GO:0090068,positive regulation of cell cycle process,19_GO:0048518 positive regulation of biological process,-10,21,14,30284,273,52,10,19,5.5,332|991|1894|6241|9585|9787|9928|10051|11065|51203,BIRC5|CDC20|ECT2|RRM2|KIF20B|DLGAP5|KIF14|SMC4|UBE2C|NUSAP1,-7.6
MyList,GO Biological Processes,19,GO:1905818,regulation of chromosome separation,19_GO:0050789 regulation of biological process,-10,53,19,30284,77,52,7,13,4.7,332|991|1063|5347|9787|10051|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|SMC4|UBE2C,-7.4
MyList,GO Biological Processes,19,GO:0000281,mitotic cytokinesis,19_GO:0009987 cellular process,-9.7,46,18,30284,89,52,7,13,4.7,332|1894|5347|51203|54443|55165|128239,BIRC5|ECT2|PLK1|NUSAP1|ANLN|CEP55|IQGAP3,-7
MyList,GO Biological Processes,19,GO:0045787,positive regulation of cell cycle,19_GO:0048518 positive regulation of biological process,-9.5,17,12,30284,343,52,10,19,5.5,332|991|1894|6241|9585|9787|9928|10051|11065|51203,BIRC5|CDC20|ECT2|RRM2|KIF20B|DLGAP5|KIF14|SMC4|UBE2C|NUSAP1,-6.7
MyList,GO Biological Processes,19,GO:0033044,regulation of chromosome organization,19_GO:0050789 regulation of biological process,-9.4,21,13,30284,246,52,9,17,5.2,332|991|1063|4751|5347|9787|10051|10460|11065,BIRC5|CDC20|CENPF|NEK2|PLK1|DLGAP5|SMC4|TACC3|UBE2C,-6.7
MyList,Reactome Gene Sets,6,R-HSA-194315,Signaling by Rho GTPases,,-9.4,12,11,30284,605,52,12,23,5.8,857|991|1063|1894|3930|4001|5347|8340|9928|11004|54443|128239,CAV1|CDC20|CENPF|ECT2|LBR|LMNB1|PLK1|H2BC13|KIF14|KIF2C|ANLN|IQGAP3,-6.7
MyList,Reactome Gene Sets,6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-9.3,11,11,30284,619,52,12,23,5.8,857|991|1063|1894|3930|4001|5347|8340|9928|11004|54443|128239,CAV1|CDC20|CENPF|ECT2|LBR|LMNB1|PLK1|H2BC13|KIF14|KIF2C|ANLN|IQGAP3,-6.6
MyList,Reactome Gene Sets,6,R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,,-9.3,64,19,30284,55,52,6,12,4.4,890|991|4751|5347|9232|11065,CCNA2|CDC20|NEK2|PLK1|PTTG1|UBE2C,-6.6
MyList,GO Biological Processes,19,GO:0033045,regulation of sister chromatid segregation,19_GO:0050789 regulation of biological process,-9.2,38,16,30284,108,52,7,13,4.7,332|991|1063|5347|9787|10460|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|TACC3|UBE2C,-6.5
MyList,Reactome Gene Sets,6,R-HSA-68882,Mitotic Anaphase,,-9,25,14,30284,186,52,8,15,5,991|1063|3930|4001|5347|9232|11004|11065,CDC20|CENPF|LBR|LMNB1|PLK1|PTTG1|KIF2C|UBE2C,-6.3
MyList,Reactome Gene Sets,6,R-HSA-2555396,Mitotic Metaphase and Anaphase,,-9,25,14,30284,187,52,8,15,5,991|1063|3930|4001|5347|9232|11004|11065,CDC20|CENPF|LBR|LMNB1|PLK1|PTTG1|KIF2C|UBE2C,-6.3
MyList,GO Biological Processes,19,GO:0010965,regulation of mitotic sister chromatid separation,19_GO:0050789 regulation of biological process,-9,56,18,30284,62,52,6,12,4.4,332|991|1063|5347|9787|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|UBE2C,-6.3
MyList,Reactome Gene Sets,6,R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,,-8.9,55,18,30284,63,52,6,12,4.4,890|991|4751|5347|9232|11065,CCNA2|CDC20|NEK2|PLK1|PTTG1|UBE2C,-6.3
MyList,Reactome Gene Sets,6,R-HSA-453276,Regulation of mitotic cell cycle,,-8.9,55,18,30284,63,52,6,12,4.4,890|991|4751|5347|9232|11065,CCNA2|CDC20|NEK2|PLK1|PTTG1|UBE2C,-6.3
MyList,GO Biological Processes,19,GO:0061640,cytoskeleton-dependent cytokinesis,19_GO:0009987 cellular process,-8.9,35,15,30284,117,52,7,13,4.7,332|1894|5347|51203|54443|55165|128239,BIRC5|ECT2|PLK1|NUSAP1|ANLN|CEP55|IQGAP3,-6.3
MyList,GO Biological Processes,19,GO:0000910,cytokinesis,19_GO:0009987 cellular process,-8.9,34,15,30284,119,52,7,13,4.7,332|1894|5347|51203|54443|55165|128239,BIRC5|ECT2|PLK1|NUSAP1|ANLN|CEP55|IQGAP3,-6.3
MyList,WikiPathways,27,WP2361,Gastric cancer network 1,,-8.9,1e+02,22,30284,29,52,5,9.6,4.1,1063|1894|9585|11065|22974,CENPF|ECT2|KIF20B|UBE2C|TPX2,-6.3
MyList,GO Biological Processes,19,GO:1905820,positive regulation of chromosome separation,19_GO:0048518 positive regulation of biological process,-8.6,91,21,30284,32,52,5,9.6,4.1,332|991|9787|10051|11065,BIRC5|CDC20|DLGAP5|SMC4|UBE2C,-6.1
MyList,Canonical Pathways,11,M176,PID FOXM1 PATHWAY,,-8.1,73,19,30284,40,52,5,9.6,4.1,332|890|1063|4751|5347,BIRC5|CCNA2|CENPF|NEK2|PLK1,-5.6
MyList,GO Biological Processes,19,GO:0140694,membraneless organelle assembly,19_GO:0009987 cellular process,-8.1,15,11,30284,352,52,9,17,5.2,332|991|1063|4751|9787|22974|29128|54443|259266,BIRC5|CDC20|CENPF|NEK2|DLGAP5|TPX2|UHRF1|ANLN|ASPM,-5.6
MyList,GO Biological Processes,19,GO:0044770,cell cycle phase transition,19_GO:0009987 cellular process,-8,26,13,30284,159,52,7,13,4.7,332|890|991|5347|10460|11065|128239,BIRC5|CCNA2|CDC20|PLK1|TACC3|UBE2C|IQGAP3,-5.5
MyList,GO Biological Processes,19,GO:0030071,regulation of mitotic metaphase/anaphase transition,19_GO:0050789 regulation of biological process,-7.9,38,15,30284,93,52,6,12,4.4,332|991|1063|5347|9787|11065,BIRC5|CDC20|CENPF|PLK1|DLGAP5|UBE2C,-5.4
MyList,GO Biological Processes,19,GO:1901990,regulation of mitotic cell cycle phase transition,19_GO:0050789 regulation of biological process,-7.9,14,11,30284,371,52,9,17,5.2,332|991|1063|5347|6241|9787|9928|11065|54443,BIRC5|CDC20|CENPF|PLK1|RRM2|DLGAP5|KIF14|UBE2C|ANLN,-5.4
