_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-28,COVID054,M1,1,0,COVID,200,RNA_Xiong_PBMC_Up,,-28,32,26,30284,300,73,23,32,5.4,332|890|991|1063|3485|4288|5347|6241|7298|9787|9928|10024|11004|11065|22974|54443|55165|79801|83461|146909|157313|259266|283431,BIRC5|CCNA2|CDC20|CENPF|IGFBP2|MKI67|PLK1|RRM2|TYMS|DLGAP5|KIF14|TROAP|KIF2C|UBE2C|TPX2|ANLN|CEP55|SHCBP1|CDCA3|KIF18B|CDCA2|ASPM|GAS2L3,-24,0
1,-21,COVID015,M1,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Down,,-21,26,22,30284,300,73,19,26,5.1,332|991|1462|3838|4001|4288|5347|6241|7298|9787|10460|11004|22974|25840|51435|83461|89958|146909|157313,BIRC5|CDC20|VCAN|KPNA2|LMNB1|MKI67|PLK1|RRM2|TYMS|DLGAP5|TACC3|KIF2C|TPX2|TMT1A|SCARA3|CDCA3|SAPCD2|KIF18B|CDCA2,-18,0
1,-15,COVID007,M1,1,0,COVID,200,RNA_Blanco-Melo_A549_Down,,-15,21,17,30284,300,73,15,21,4.7,332|3838|4001|4288|5347|6241|9837|10024|10460|26147|29128|51435|83461|89958|146909,BIRC5|KPNA2|LMNB1|MKI67|PLK1|RRM2|GINS1|TROAP|TACC3|PHF19|UHRF1|SCARA3|CDCA3|SAPCD2|KIF18B,-12,0
1,-12,COVID071,M1,1,0,COVID,200,Proteome_Bouhaddou_Vero_E6_24h_Down,,-12,39,18,30284,95,73,9,12,3.8,1063|3838|4288|6241|7018|11004|11065|29128|54443,CENPF|KPNA2|MKI67|RRM2|TF|KIF2C|UBE2C|UHRF1|ANLN,-8.6,0
1,-11,COVID134,M1,1,0,COVID,200,Proteome_Stukalov_A549-ACE2_24h_Down,,-11,17,13,30284,299,73,12,16,4.3,890|1063|4288|5347|7298|9787|11065|22974|29028|29128|55165|128239,CCNA2|CENPF|MKI67|PLK1|TYMS|DLGAP5|UBE2C|TPX2|ATAD2|UHRF1|CEP55|IQGAP3,-8,0
1,-8.9,COVID055,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_0h_Down,,-8.9,15,11,30284,277,73,10,14,4,991|1894|3009|4001|4288|5347|11004|22974|54443|157313,CDC20|ECT2|H1-5|LMNB1|MKI67|PLK1|KIF2C|TPX2|ANLN|CDCA2,-5.8,0
1,-8.6,COVID059,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_24h_Down,,-8.6,14,11,30284,300,73,10,14,4,991|1063|1894|4001|4288|5347|22974|29028|29128|54443,CDC20|CENPF|ECT2|LMNB1|MKI67|PLK1|TPX2|ATAD2|UHRF1|ANLN,-5.5,0
1,-7.3,COVID315,M1,1,0,COVID,200,RNA_Wilk_CD8+T-cells_patient-C6_Up,,-7.3,51,16,30284,41,73,5,6.8,3,1063|3148|4288|10051|22974,CENPF|HMGB2|MKI67|SMC4|TPX2,-4.4,0
1,-6.8,COVID069,M1,1,0,COVID,200,Proteome_Bouhaddou_Vero_E6_12h_Down,,-6.8,40,14,30284,52,73,5,6.8,3,1063|6241|7018|29128|54443,CENPF|RRM2|TF|UHRF1|ANLN,-3.9,0
1,-5.1,COVID347,M1,1,0,COVID,200,RNA_Wilk_B-cells_patient-C6_Up,,-5.1,19,9.2,30284,110,73,5,6.8,3,1063|4288|29028|54443|81611,CENPF|MKI67|ATAD2|ANLN|ANP32E,-2.4,0
1,-5.1,COVID039,M1,1,0,COVID,200,RNA_Sun_Calu-3_24h_Down,,-5.1,9.7,7.4,30284,300,73,7,9.6,3.4,3838|4001|4288|6241|29028|54443|340547,KPNA2|LMNB1|MKI67|RRM2|ATAD2|ANLN|VSIG1,-2.3,0
1,-5.1,COVID057,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_12h_Down,,-5.1,9.7,7.4,30284,300,73,7,9.6,3.4,1063|4001|4288|5347|22974|29028|54443,CENPF|LMNB1|MKI67|PLK1|TPX2|ATAD2|ANLN,-2.3,0
1,-5.1,COVID061,M1,1,0,COVID,200,Phosphoproteome_Bouhaddou_Vero_E6_2h_Down,,-5.1,9.7,7.4,30284,300,73,7,9.6,3.4,1894|4288|5347|11004|22974|54443|157313,ECT2|MKI67|PLK1|KIF2C|TPX2|ANLN|CDCA2,-2.3,0
1,-5,COVID369,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_NSP13,,-5,29,10,30284,57,73,4,5.5,2.7,991|6241|9232|51203,CDC20|RRM2|PTTG1|NUSAP1,-2.2,0
