_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-59,M39036,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX NSC 2,,-59,66,49,30284,233,73,37,51,5.9,332|890|991|1063|1894|3148|3838|3930|4001|4288|4751|5347|6241|8836|9232|9585|9787|9837|9928|10024|10051|10460|11004|11065|22974|26147|51203|54492|55165|79801|81611|83461|89958|146909|157313|259266|283431,BIRC5|CCNA2|CDC20|CENPF|ECT2|HMGB2|KPNA2|LBR|LMNB1|MKI67|NEK2|PLK1|RRM2|GGH|PTTG1|KIF20B|DLGAP5|GINS1|KIF14|TROAP|SMC4|TACC3|KIF2C|UBE2C|TPX2|PHF19|NUSAP1|NEURL1B|CEP55|SHCBP1|ANP32E|CDCA3|SAPCD2|KIF18B|CDCA2|ASPM|GAS2L3,-54,0
1,-58,M39096,M1,1,0,Cell Type Signatures,7,ZHONG PFC C1 OPC,,-58,64,48,30284,238,73,37,51,5.9,332|890|991|1063|1894|3148|3838|4288|4751|5347|6241|9232|9585|9787|9928|10024|10051|10460|11004|11065|22974|26147|29028|29128|51053|51203|51435|54443|55165|79801|81611|83461|128239|146909|157313|259266|283431,BIRC5|CCNA2|CDC20|CENPF|ECT2|HMGB2|KPNA2|MKI67|NEK2|PLK1|RRM2|PTTG1|KIF20B|DLGAP5|KIF14|TROAP|SMC4|TACC3|KIF2C|UBE2C|TPX2|PHF19|ATAD2|UHRF1|GMNN|NUSAP1|SCARA3|ANLN|CEP55|SHCBP1|ANP32E|CDCA3|IQGAP3|KIF18B|CDCA2|ASPM|GAS2L3,-54,0
1,-54,M39041,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX MICROGLIA 1,,-54,86,52,30284,155,73,32,44,5.8,332|890|991|1063|3148|3838|4288|5347|6241|8836|9232|9585|9787|9928|10024|10051|10460|11004|11065|22974|26147|29028|51203|54443|55165|79801|81611|83461|128239|146909|157313|259266,BIRC5|CCNA2|CDC20|CENPF|HMGB2|KPNA2|MKI67|PLK1|RRM2|GGH|PTTG1|KIF20B|DLGAP5|KIF14|TROAP|SMC4|TACC3|KIF2C|UBE2C|TPX2|PHF19|ATAD2|NUSAP1|ANLN|CEP55|SHCBP1|ANP32E|CDCA3|IQGAP3|KIF18B|CDCA2|ASPM,-50,0
1,-44,M39059,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGBP,,-44,44,37,30284,300,73,32,44,5.8,332|890|1063|1894|3148|3485|3930|4001|4288|4751|5347|6241|7298|9232|9787|9837|9928|10024|10051|10460|11004|11065|22974|29028|29128|51053|51203|54443|81611|83461|89958|259266,BIRC5|CCNA2|CENPF|ECT2|HMGB2|IGFBP2|LBR|LMNB1|MKI67|NEK2|PLK1|RRM2|TYMS|PTTG1|DLGAP5|GINS1|KIF14|TROAP|SMC4|TACC3|KIF2C|UBE2C|TPX2|ATAD2|UHRF1|GMNN|NUSAP1|ANLN|ANP32E|CDCA3|SAPCD2|ASPM,-40,0
1,-40,M39061,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGFPM,,-40,36,33,30284,356,73,31,42,5.8,332|890|1063|1894|3148|3485|3838|4001|4288|4751|5347|6241|7298|9232|9787|9837|9928|10024|10051|10460|11004|11065|22974|29028|29128|51053|51203|54443|81611|83461|259266,BIRC5|CCNA2|CENPF|ECT2|HMGB2|IGFBP2|KPNA2|LMNB1|MKI67|NEK2|PLK1|RRM2|TYMS|PTTG1|DLGAP5|GINS1|KIF14|TROAP|SMC4|TACC3|KIF2C|UBE2C|TPX2|ATAD2|UHRF1|GMNN|NUSAP1|ANLN|ANP32E|CDCA3|ASPM,-36,0
1,-38,M39060,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGFPL,,-38,37,32,30284,323,73,29,40,5.7,332|890|1063|1894|3148|3485|4001|4288|4751|5347|6241|7298|9232|9787|9837|9928|10024|10051|10460|11004|11065|22974|29028|29128|51053|51203|54443|83461|259266,BIRC5|CCNA2|CENPF|ECT2|HMGB2|IGFBP2|LMNB1|MKI67|NEK2|PLK1|RRM2|TYMS|PTTG1|DLGAP5|GINS1|KIF14|TROAP|SMC4|TACC3|KIF2C|UBE2C|TPX2|ATAD2|UHRF1|GMNN|NUSAP1|ANLN|CDCA3|ASPM,-34,0
1,-34,M39078,M1,1,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES NPCS,,-34,64,37,30284,142,73,22,30,5.4,332|890|991|1063|3148|3838|4288|6241|9232|9787|10051|10460|11004|11065|22974|29028|29128|51053|51203|81611|83461|259266,BIRC5|CCNA2|CDC20|CENPF|HMGB2|KPNA2|MKI67|RRM2|PTTG1|DLGAP5|SMC4|TACC3|KIF2C|UBE2C|TPX2|ATAD2|UHRF1|GMNN|NUSAP1|ANP32E|CDCA3|ASPM,-30,0
1,-33,M39087,M1,1,0,Cell Type Signatures,7,ZHONG PFC C2 UNKNOWN NPC,,-33,1e+02,44,30284,76,73,19,26,5.1,890|991|1063|3838|4288|4751|5347|9232|9787|10024|10460|11004|11065|22974|26147|51203|83461|157313|259266,CCNA2|CDC20|CENPF|KPNA2|MKI67|NEK2|PLK1|PTTG1|DLGAP5|TROAP|TACC3|KIF2C|UBE2C|TPX2|PHF19|NUSAP1|CDCA3|CDCA2|ASPM,-30,0
1,-33,M39103,M1,1,0,Cell Type Signatures,7,ZHONG PFC C1 MICROGLIA,,-33,40,31,30284,257,73,25,34,5.6,332|890|1063|1154|3148|3838|5347|6241|9585|9837|10024|10460|11004|11065|22974|26147|29028|29128|51053|51203|54443|79801|83461|128239|259266,BIRC5|CCNA2|CENPF|CISH|HMGB2|KPNA2|PLK1|RRM2|KIF20B|GINS1|TROAP|TACC3|KIF2C|UBE2C|TPX2|PHF19|ATAD2|UHRF1|GMNN|NUSAP1|ANLN|SHCBP1|CDCA3|IQGAP3|ASPM,-30,0
1,-31,M41687,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROLIFERATING NK T CELL,,-31,64,35,30284,129,73,20,27,5.2,332|890|991|1063|3148|4288|6241|7298|8836|9928|10024|10051|10460|11004|11065|22974|29028|51053|83461|259266,BIRC5|CCNA2|CDC20|CENPF|HMGB2|MKI67|RRM2|TYMS|GGH|KIF14|TROAP|SMC4|TACC3|KIF2C|UBE2C|TPX2|ATAD2|GMNN|CDCA3|ASPM,-27,0
1,-28,M39153,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE 24W C2 MKI67POS PROGENITOR,,-28,66,34,30284,113,73,18,25,5,332|890|991|1063|4288|6241|9232|9585|9787|10024|10460|11065|22974|26147|51203|54443|128239|259266,BIRC5|CCNA2|CDC20|CENPF|MKI67|RRM2|PTTG1|KIF20B|DLGAP5|TROAP|TACC3|UBE2C|TPX2|PHF19|NUSAP1|ANLN|IQGAP3|ASPM,-24,0
1,-26,M39208,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW PRO B,,-26,30,25,30284,304,73,22,30,5.4,332|1063|3009|3148|3838|4001|4288|7298|8836|9928|10051|10460|11065|22974|26147|29028|51203|55165|79801|81611|259266|440689,BIRC5|CENPF|H1-5|HMGB2|KPNA2|LMNB1|MKI67|TYMS|GGH|KIF14|SMC4|TACC3|UBE2C|TPX2|PHF19|ATAD2|NUSAP1|CEP55|SHCBP1|ANP32E|ASPM|H2BC18,-23,0
1,-24,M39081,M1,1,0,Cell Type Signatures,7,ZHONG PFC C8 ORG PROLIFERATING,,-24,94,36,30284,62,73,14,19,4.6,332|991|1063|4751|5347|9232|10024|10460|22974|51203|79801|83461|259266|283431,BIRC5|CDC20|CENPF|NEK2|PLK1|PTTG1|TROAP|TACC3|TPX2|NUSAP1|SHCBP1|CDCA3|ASPM|GAS2L3,-20,0
1,-20,M39062,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HNPROG,,-20,31,22,30284,229,73,17,23,4.9,332|890|1063|3148|4288|4751|5347|9787|9928|10460|11004|11065|22974|51203|83461|259266|285513,BIRC5|CCNA2|CENPF|HMGB2|MKI67|NEK2|PLK1|DLGAP5|KIF14|TACC3|KIF2C|UBE2C|TPX2|NUSAP1|CDCA3|ASPM|GPRIN3,-17,0
1,-20,M39165,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CH MKI67HIGH CELLS,,-20,54,27,30284,107,73,14,19,4.6,332|890|1063|3009|4288|10024|10460|11004|22974|54443|55165|83461|128239|157313,BIRC5|CCNA2|CENPF|H1-5|MKI67|TROAP|TACC3|KIF2C|TPX2|ANLN|CEP55|CDCA3|IQGAP3|CDCA2,-17,0
1,-16,M39083,M1,1,0,Cell Type Signatures,7,ZHONG PFC C3 UNKNOWN INP,,-16,98,29,30284,38,73,9,12,3.8,332|890|1063|1894|3838|9787|11065|22974|157313,BIRC5|CCNA2|CENPF|ECT2|KPNA2|DLGAP5|UBE2C|TPX2|CDCA2,-12,0
1,-13,M39270,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA RPC,,-13,39,19,30284,107,73,10,14,4,1063|3148|7298|9232|11065|29028|29128|51053|51203|81611,CENPF|HMGB2|TYMS|PTTG1|UBE2C|ATAD2|UHRF1|GMNN|NUSAP1|ANP32E,-9.8,0
1,-12,M39058,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPROGM,,-12,18,14,30284,307,73,13,18,4.5,332|1063|3148|3485|4254|5347|7298|10024|10460|29128|51203|79642|83461,BIRC5|CENPF|HMGB2|IGFBP2|KITLG|PLK1|TYMS|TROAP|TACC3|UHRF1|NUSAP1|ARSJ|CDCA3,-9.2,0
1,-11,M40002,M1,1,0,Cell Type Signatures,7,BUSSLINGER ESOPHAGEAL PROLIFERATING BASAL CELLS,,-11,47,19,30284,70,73,8,11,3.7,857|1063|3148|4288|6241|10051|51203|259266,CAV1|CENPF|HMGB2|MKI67|RRM2|SMC4|NUSAP1|ASPM,-8.1,0
1,-9.1,M40003,M1,1,0,Cell Type Signatures,7,BUSSLINGER ESOPHAGEAL EARLY SUPRABASAL CELLS,,-9.1,37,16,30284,79,73,7,9.6,3.4,1063|3148|4288|6241|9232|10051|259266,CENPF|HMGB2|MKI67|RRM2|PTTG1|SMC4|ASPM,-6,0
1,-8.8,M39263,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA BLOOD,,-8.8,15,11,30284,282,73,10,14,4,332|1063|4288|6241|7298|9232|10024|11065|25840|54443,BIRC5|CENPF|MKI67|RRM2|TYMS|PTTG1|TROAP|UBE2C|TMT1A|ANLN,-5.8,0
1,-8.1,M39054,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-8.1,10,9.7,30284,440,73,11,15,4.2,332|3485|4288|7018|9837|9928|10460|11004|22974|25840|51203,BIRC5|IGFBP2|MKI67|TF|GINS1|KIF14|TACC3|KIF2C|TPX2|TMT1A|NUSAP1,-5.1,0
1,-7.9,M40010,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC ISTHMUS CELLS,,-7.9,10,9.5,30284,458,73,11,15,4.2,1063|3148|4288|9232|10051|10460|11065|22974|51203|259266|340547,CENPF|HMGB2|MKI67|PTTG1|SMC4|TACC3|UBE2C|TPX2|NUSAP1|ASPM|VSIG1,-4.9,0
1,-5.7,M40073,M1,1,0,Cell Type Signatures,7,DESCARTES MAIN FETAL ERYTHROBLASTS,,-5.7,12,8.4,30284,242,73,7,9.6,3.4,991|3009|6241|9787|10024|51203|146909,CDC20|H1-5|RRM2|DLGAP5|TROAP|NUSAP1|KIF18B,-2.8,0
1,-5.6,M39250,M1,1,0,Cell Type Signatures,7,MENON FETAL KIDNEY 0 CAP MESENCHYME CELLS,,-5.6,23,10,30284,90,73,5,6.8,3,1063|3148|4288|10051|283120,CENPF|HMGB2|MKI67|SMC4|H19,-2.7,0
1,-5.5,M39052,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HOPC,,-5.5,9.1,7.6,30284,366,73,8,11,3.7,332|3485|7018|7298|9928|25840|29128|89958,BIRC5|IGFBP2|TF|TYMS|KIF14|TMT1A|UHRF1|SAPCD2,-2.7,0
1,-5.4,M40297,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL STOMACH ERYTHROBLASTS,,-5.4,21,9.7,30284,100,73,5,6.8,3,332|991|7018|9787|79801,BIRC5|CDC20|TF|DLGAP5|SHCBP1,-2.6,0
1,-5,M40025,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-5,9.5,7.4,30284,305,73,7,9.6,3.4,1063|3148|3930|4288|6241|10051|259266,CENPF|HMGB2|LBR|MKI67|RRM2|SMC4|ASPM,-2.3,0
