_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-9.6,C0007138,M1,1,0,DisGeNET,35,"Carcinoma, Transitional Cell",,-9.6,9.3,10,30284,622,73,14,19,4.6,857|890|991|1154|3838|4288|5347|6241|7042|8836|9585|9787|10460|55165,CAV1|CCNA2|CDC20|CISH|KPNA2|MKI67|PLK1|RRM2|TGFB2|GGH|KIF20B|DLGAP5|TACC3|CEP55,-6.5,0
1,-7.8,C0555198,M1,1,0,DisGeNET,35,Malignant Glioma,,-7.8,7.4,8.6,30284,724,73,13,18,4.5,332|857|1356|1462|1894|3485|4288|4751|5347|7042|22943|27122|259266,BIRC5|CAV1|CP|VCAN|ECT2|IGFBP2|MKI67|NEK2|PLK1|TGFB2|DKK1|DKK3|ASPM,-4.8,0
1,-7.6,C4086152,M1,1,0,DisGeNET,35,Childhood Astrocytoma,,-7.6,8.1,8.7,30284,615,73,12,16,4.3,857|991|1462|1894|3485|4288|9232|9928|22974|29128|51203|259266,CAV1|CDC20|VCAN|ECT2|IGFBP2|MKI67|PTTG1|KIF14|TPX2|UHRF1|NUSAP1|ASPM,-4.6,0
1,-7.4,C0025286,M1,1,0,DisGeNET,35,Meningioma,,-7.4,7.9,8.6,30284,634,73,12,16,4.3,332|857|1063|1462|3485|4288|7298|9232|9928|11065|27122|283120,BIRC5|CAV1|CENPF|VCAN|IGFBP2|MKI67|TYMS|PTTG1|KIF14|UBE2C|DKK3|H19,-4.5,0
1,-7.1,C1328504,M1,1,0,DisGeNET,35,Hormone refractory prostate cancer,,-7.1,7.3,8.2,30284,683,73,12,16,4.3,857|890|991|3485|3838|5347|9232|9787|11065|29028|54443|55165,CAV1|CCNA2|CDC20|IGFBP2|KPNA2|PLK1|PTTG1|DLGAP5|UBE2C|ATAD2|ANLN|CEP55,-4.2,0
1,-6.5,C1704272,M1,1,0,DisGeNET,35,Benign Prostatic Hyperplasia,,-6.5,6.5,7.6,30284,770,73,12,16,4.3,857|1154|1462|3485|4254|4288|5347|7042|22943|27122|55165|283120,CAV1|CISH|VCAN|IGFBP2|KITLG|MKI67|PLK1|TGFB2|DKK1|DKK3|CEP55|H19,-3.6,0
1,-5.9,C0206624,M1,1,0,DisGeNET,35,Hepatoblastoma,,-5.9,8.3,7.7,30284,451,73,9,12,3.8,332|890|3485|5347|22943|27122|29128|54443|283120,BIRC5|CCNA2|IGFBP2|PLK1|DKK1|DKK3|UHRF1|ANLN|H19,-3,0
1,-5.8,C0521158,M1,1,0,DisGeNET,35,Recurrent tumor,,-5.8,6.2,7,30284,735,73,11,15,4.2,332|857|1063|1154|4288|4751|5347|7298|8835|22943|55165,BIRC5|CAV1|CENPF|CISH|MKI67|NEK2|PLK1|TYMS|SOCS2|DKK1|CEP55,-3,0
1,-5.7,C0279628,M1,1,0,DisGeNET,35,Adenocarcinoma Of Esophagus,,-5.7,8,7.5,30284,467,73,9,12,3.8,857|3485|5347|7298|11065|22943|27122|29128|259266,CAV1|IGFBP2|PLK1|TYMS|UBE2C|DKK1|DKK3|UHRF1|ASPM,-2.9,0
1,-5.7,C0853879,M1,1,0,DisGeNET,35,Invasive carcinoma of breast,,-5.7,7.9,7.4,30284,472,73,9,12,3.8,890|1894|4254|7298|8836|9232|9787|51053|51203,CCNA2|ECT2|KITLG|TYMS|GGH|PTTG1|DLGAP5|GMNN|NUSAP1,-2.8,0
1,-5.7,C0030297,M1,1,0,DisGeNET,35,Pancreatic Neoplasm,,-5.7,6,6.8,30284,764,73,11,15,4.2,332|857|1894|3485|3672|5347|7042|7298|9232|27122|51053,BIRC5|CAV1|ECT2|IGFBP2|ITGA1|PLK1|TGFB2|TYMS|PTTG1|DKK3|GMNN,-2.8,0
1,-5.5,C0085669,M1,1,0,DisGeNET,35,Acute leukemia,,-5.5,6.5,6.9,30284,639,73,10,14,4,890|1462|3485|3930|5347|7018|7298|8835|8836|27122,CCNA2|VCAN|IGFBP2|LBR|PLK1|TF|TYMS|SOCS2|GGH|DKK3,-2.7,0
1,-5.4,C1378703,M1,1,0,DisGeNET,35,Renal carcinoma,,-5.4,6.2,6.7,30284,665,73,10,14,4,857|1462|4254|5347|7298|9232|9585|22943|27122|29128,CAV1|VCAN|KITLG|PLK1|TYMS|PTTG1|KIF20B|DKK1|DKK3|UHRF1,-2.6,0
1,-5,C0597984,M1,1,0,DisGeNET,35,Biliary stricture,,-5,73,15,30284,17,73,3,4.1,2.3,332|4751|11004,BIRC5|NEK2|KIF2C,-2.3,0
1,-5,C0024305,M1,1,0,DisGeNET,35,"Lymphoma, Non-Hodgkin",,-5,5.7,6.3,30284,733,73,10,14,4,332|3930|4288|5347|7298|8836|10051|11065|22974|283120,BIRC5|LBR|MKI67|PLK1|TYMS|GGH|SMC4|UBE2C|TPX2|H19,-2.3,0
1,-5,C0220641,M1,1,0,DisGeNET,35,Lip and Oral Cavity Carcinoma,,-5,5.7,6.3,30284,734,73,10,14,4,332|857|991|1356|1894|5347|22943|27122|51053|83461,BIRC5|CAV1|CDC20|CP|ECT2|PLK1|DKK1|DKK3|GMNN|CDCA3,-2.3,0
1,-4.9,C2145472,M1,1,0,DisGeNET,35,Urothelial Carcinoma,,-4.9,7.4,6.7,30284,448,73,8,11,3.7,991|1154|3838|4288|5347|6241|7042|9585,CDC20|CISH|KPNA2|MKI67|PLK1|RRM2|TGFB2|KIF20B,-2.2,0
1,-4.9,C0153381,M1,1,0,DisGeNET,35,Malignant neoplasm of mouth,,-4.9,5.5,6.1,30284,756,73,10,14,4,332|857|991|1356|1894|5347|22943|27122|51053|83461,BIRC5|CAV1|CDC20|CP|ECT2|PLK1|DKK1|DKK3|GMNN|CDCA3,-2.2,0
1,-4.8,C0278876,M1,1,0,DisGeNET,35,Adult Medulloblastoma,,-4.8,5.4,6.1,30284,762,73,10,14,4,5347|7018|7042|7298|9232|9928|22943|27122|29128|259266,PLK1|TF|TGFB2|TYMS|PTTG1|KIF14|DKK1|DKK3|UHRF1|ASPM,-2.2,0
1,-4.8,C0278510,M1,1,0,DisGeNET,35,Childhood Medulloblastoma,,-4.8,5.4,6.1,30284,771,73,10,14,4,5347|7018|7042|7298|9232|9928|22943|27122|29128|259266,PLK1|TF|TGFB2|TYMS|PTTG1|KIF14|DKK1|DKK3|UHRF1|ASPM,-2.1,0
1,-4.8,C0175754,M1,1,0,DisGeNET,35,Agenesis of corpus callosum,,-4.8,6.1,6.2,30284,615,73,9,12,3.8,1063|1356|1462|6241|7298|9232|9928|27122|259266,CENPF|CP|VCAN|RRM2|TYMS|PTTG1|KIF14|DKK3|ASPM,-2.1,0
1,-4.7,C0007112,M1,1,0,DisGeNET,35,Adenocarcinoma of prostate,,-4.7,8.5,6.8,30284,342,73,7,9.6,3.4,1462|3485|4254|4288|6241|7298|8835,VCAN|IGFBP2|KITLG|MKI67|RRM2|TYMS|SOCS2,-2.1,0
1,-4.7,C0333516,M1,1,0,DisGeNET,35,Tumor necrosis,,-4.7,8.3,6.7,30284,350,73,7,9.6,3.4,1154|3485|4288|5347|7042|7298|27122,CISH|IGFBP2|MKI67|PLK1|TGFB2|TYMS|DKK3,-2,0
1,-4.5,C1292778,M1,1,0,DisGeNET,35,Chronic myeloproliferative disorder,,-4.5,7.9,6.6,30284,366,73,7,9.6,3.4,1063|1154|4254|8835|22943|27122|51053,CENPF|CISH|KITLG|SOCS2|DKK1|DKK3|GMNN,-1.9,0
1,-4.5,C0030246,M1,1,0,DisGeNET,35,Pustulosis of Palms and Soles,,-4.5,22,9.1,30284,74,73,4,5.5,2.7,1356|4288|7298|9232,CP|MKI67|TYMS|PTTG1,-1.9,0
1,-4.4,C0677932,M1,1,0,DisGeNET,35,Progressive Neoplastic Disease,,-4.4,7.6,6.4,30284,382,73,7,9.6,3.4,332|3930|4254|7018|7042|7298|22943,BIRC5|LBR|KITLG|TF|TGFB2|TYMS|DKK1,-1.8,0
1,-4.4,C3539781,M1,1,0,DisGeNET,35,Progressive cGVHD,,-4.4,7.6,6.4,30284,382,73,7,9.6,3.4,332|3930|4254|7018|7042|7298|22943,BIRC5|LBR|KITLG|TF|TGFB2|TYMS|DKK1,-1.8,0
1,-4.4,C1257931,M1,1,0,DisGeNET,35,"Mammary Neoplasms, Human",,-4.4,6.3,6,30284,527,73,8,11,3.7,332|857|1063|4288|7298|11065|22943|283120,BIRC5|CAV1|CENPF|MKI67|TYMS|UBE2C|DKK1|H19,-1.8,0
1,-4.4,C1861305,M1,1,0,DisGeNET,35,TARSAL-CARPAL COALITION SYNDROME,,-4.4,9.6,6.8,30284,260,73,6,8.2,3.2,857|1154|4288|9787|29128|55165,CAV1|CISH|MKI67|DLGAP5|UHRF1|CEP55,-1.8,0
1,-4.4,C0271694,M1,1,0,DisGeNET,35,Familial partial lipodystrophy,,-4.4,44,11,30284,28,73,3,4.1,2.3,857|3930|4001,CAV1|LBR|LMNB1,-1.8,0
1,-4.3,C0002793,M1,1,0,DisGeNET,35,Anaplasia,,-4.3,6.2,5.9,30284,538,73,8,11,3.7,857|3485|4254|4288|5347|7042|27122|29128,CAV1|IGFBP2|KITLG|MKI67|PLK1|TGFB2|DKK3|UHRF1,-1.7,0
1,-4.3,C4704874,M1,1,0,DisGeNET,35,"Mammary Carcinoma, Human",,-4.3,6.1,5.9,30284,545,73,8,11,3.7,332|857|1063|4288|7298|11065|22943|283120,BIRC5|CAV1|CENPF|MKI67|TYMS|UBE2C|DKK1|H19,-1.7,0
1,-4.2,C0013221,M1,1,0,DisGeNET,35,Drug toxicity,,-4.2,19,8.4,30284,86,73,4,5.5,2.7,1356|4254|7018|7298,CP|KITLG|TF|TYMS,-1.7,0
1,-4.2,C1512127,M1,1,0,DisGeNET,35,HER2 gene amplification,,-4.2,12,7.2,30284,170,73,5,6.8,3,857|1154|4288|7298|10460,CAV1|CISH|MKI67|TYMS|TACC3,-1.7,0
1,-4.2,C0041755,M1,1,0,DisGeNET,35,Adverse reaction to drug,,-4.2,19,8.3,30284,87,73,4,5.5,2.7,1356|4254|7018|7298,CP|KITLG|TF|TYMS,-1.7,0
1,-4.2,C0025500,M1,1,0,DisGeNET,35,Mesothelioma,,-4.2,5.9,5.8,30284,559,73,8,11,3.7,332|1462|3485|4254|4288|7298|22943|51435,BIRC5|VCAN|IGFBP2|KITLG|MKI67|TYMS|DKK1|SCARA3,-1.7,0
1,-4.2,C0206686,M1,1,0,DisGeNET,35,Adrenocortical carcinoma,,-4.2,8.9,6.5,30284,281,73,6,8.2,3.2,1356|3485|7298|9232|27122|283120,CP|IGFBP2|TYMS|PTTG1|DKK3|H19,-1.7,0
1,-4.2,C1827293,M1,1,0,DisGeNET,35,"Carcinoma of urinary bladder, invasive",,-4.2,8.7,6.4,30284,287,73,6,8.2,3.2,857|1063|1154|4288|55165|283120,CAV1|CENPF|CISH|MKI67|CEP55|H19,-1.6,0
1,-4.2,C0345967,M1,1,0,DisGeNET,35,Malignant mesothelioma,,-4.2,6.9,6,30284,420,73,7,9.6,3.4,5347|7018|7042|7298|22943|27122|259266,PLK1|TF|TGFB2|TYMS|DKK1|DKK3|ASPM,-1.6,0
1,-4.2,C0149519,M1,1,0,DisGeNET,35,Chronic Persistent Hepatitis,,-4.2,38,10,30284,33,73,3,4.1,2.3,1356|4288|7018,CP|MKI67|TF,-1.6,0
1,-4.1,C0027658,M1,1,0,DisGeNET,35,"Neoplasms, Germ Cell and Embryonal",,-4.1,37,10,30284,34,73,3,4.1,2.3,332|3485|4254,BIRC5|IGFBP2|KITLG,-1.6,0
1,-4.1,C0016059,M1,1,0,DisGeNET,35,Fibrosis,,-4.1,11,6.9,30284,184,73,5,6.8,3,857|890|4288|7042|51053,CAV1|CCNA2|MKI67|TGFB2|GMNN,-1.5,0
1,-4.1,C0039101,M1,1,0,DisGeNET,35,synovial sarcoma,,-4.1,8.3,6.3,30284,299,73,6,8.2,3.2,857|3930|4288|5347|9837|79801,CAV1|LBR|MKI67|PLK1|GINS1|SHCBP1,-1.5,0
1,-4,C0854985,M1,1,0,DisGeNET,35,"Adenocarcinoma of lung, stage I",,-4,34,9.8,30284,37,73,3,4.1,2.3,857|4288|7298,CAV1|MKI67|TYMS,-1.5,0
1,-3.9,C2749675,M1,1,0,DisGeNET,35,Cortical gyral simplification,,-3.9,32,9.5,30284,39,73,3,4.1,2.3,9928|51053|259266,KIF14|GMNN|ASPM,-1.4,0
1,-3.9,C0595989,M1,1,0,DisGeNET,35,Carcinoma of larynx,,-3.9,6.4,5.7,30284,456,73,7,9.6,3.4,857|1462|4288|5347|7042|9232|22943,CAV1|VCAN|MKI67|PLK1|TGFB2|PTTG1|DKK1,-1.4,0
1,-3.9,C0010606,M1,1,0,DisGeNET,35,Adenoid Cystic Carcinoma,,-3.9,7.7,5.9,30284,325,73,6,8.2,3.2,1063|1462|3485|7298|29128|259266,CENPF|VCAN|IGFBP2|TYMS|UHRF1|ASPM,-1.4,0
1,-3.8,C0007113,M1,1,0,DisGeNET,35,Rectal Carcinoma,,-3.8,6.2,5.5,30284,472,73,7,9.6,3.4,332|4288|5347|7298|8836|11065|51053,BIRC5|MKI67|PLK1|TYMS|GGH|UBE2C|GMNN,-1.3,0
1,-3.8,C0004763,M1,1,0,DisGeNET,35,Barrett Esophagus,,-3.8,6.1,5.5,30284,478,73,7,9.6,3.4,857|890|4254|4288|7298|11065|22943,CAV1|CCNA2|KITLG|MKI67|TYMS|UBE2C|DKK1,-1.3,0
1,-3.8,C0079772,M1,1,0,DisGeNET,35,T-Cell Lymphoma,,-3.8,6,5.4,30284,485,73,7,9.6,3.4,857|4288|5347|7018|7298|22974|55165,CAV1|MKI67|PLK1|TF|TYMS|TPX2|CEP55,-1.3,0
1,-3.7,C0149782,M1,1,0,DisGeNET,35,Squamous cell carcinoma of lung,,-3.7,5,5.1,30284,670,73,8,11,3.7,857|1894|5347|6241|7298|10460|22974|51053,CAV1|ECT2|PLK1|RRM2|TYMS|TACC3|TPX2|GMNN,-1.2,0
1,-3.7,C0280324,M1,1,0,DisGeNET,35,Laryngeal Squamous Cell Carcinoma,,-3.7,5.8,5.3,30284,504,73,7,9.6,3.4,857|1462|1894|4288|8835|29128|51053,CAV1|VCAN|ECT2|MKI67|SOCS2|UHRF1|GMNN,-1.2,0
1,-3.7,C3146257,M1,1,0,DisGeNET,35,Stage II Colon Cancer AJCC v7,,-3.7,26,8.5,30284,48,73,3,4.1,2.3,1462|7298|22943,VCAN|TYMS|DKK1,-1.2,0
1,-3.7,C4525119,M1,1,0,DisGeNET,35,Stage II Colon Cancer AJCC v8,,-3.7,26,8.5,30284,48,73,3,4.1,2.3,1462|7298|22943,VCAN|TYMS|DKK1,-1.2,0
1,-3.6,C0279550,M1,1,0,DisGeNET,35,Adult Rhabdomyosarcoma,,-3.6,5.7,5.3,30284,509,73,7,9.6,3.4,857|3485|4254|4288|5347|6241|283120,CAV1|IGFBP2|KITLG|MKI67|PLK1|RRM2|H19,-1.2,0
1,-3.6,C0278479,M1,1,0,DisGeNET,35,Stage II Colon Cancer,,-3.6,25,8.4,30284,49,73,3,4.1,2.3,1462|7298|22943,VCAN|TYMS|DKK1,-1.2,0
1,-3.6,C0282612,M1,1,0,DisGeNET,35,Prostatic Intraepithelial Neoplasias,,-3.6,9,6,30284,230,73,5,6.8,3,857|3485|4288|5347|7042,CAV1|IGFBP2|MKI67|PLK1|TGFB2,-1.2,0
1,-3.6,C0220611,M1,1,0,DisGeNET,35,Childhood Rhabdomyosarcoma,,-3.6,5.6,5.2,30284,517,73,7,9.6,3.4,857|3485|4254|4288|5347|6241|283120,CAV1|IGFBP2|KITLG|MKI67|PLK1|RRM2|H19,-1.2,0
1,-3.6,C0027022,M1,1,0,DisGeNET,35,Myeloproliferative disease,,-3.6,6.8,5.5,30284,365,73,6,8.2,3.2,1154|4254|8835|22943|27122|283120,CISH|KITLG|SOCS2|DKK1|DKK3|H19,-1.2,0
1,-3.5,C0334276,M1,1,0,DisGeNET,35,Adenocarcinoma in Situ,,-3.5,23,7.9,30284,55,73,3,4.1,2.3,857|4288|27122,CAV1|MKI67|DKK3,-1.1,0
1,-3.5,C0008479,M1,1,0,DisGeNET,35,Chondrosarcoma,,-3.5,6.5,5.3,30284,385,73,6,8.2,3.2,890|1462|4288|5347|7042|22943,CCNA2|VCAN|MKI67|PLK1|TGFB2|DKK1,-1,0
1,-3.4,C0238461,M1,1,0,DisGeNET,35,Anaplastic thyroid carcinoma,,-3.4,6.3,5.2,30284,392,73,6,8.2,3.2,857|5347|11065|29128|55165|259266,CAV1|PLK1|UBE2C|UHRF1|CEP55|ASPM,-1,0
1,-3.4,C0282160,M1,1,0,DisGeNET,35,Aplasia Cutis Congenita,,-3.4,6.3,5.2,30284,392,73,6,8.2,3.2,1356|1462|6241|7298|9232|27122,CP|VCAN|RRM2|TYMS|PTTG1|DKK3,-1,0
1,-3.4,C0220668,M1,1,0,DisGeNET,35,Congenital contractural arachnodactyly,,-3.4,5.2,4.9,30284,559,73,7,9.6,3.4,332|5347|7018|7042|7298|9232|10460,BIRC5|PLK1|TF|TGFB2|TYMS|PTTG1|TACC3,-0.98,0
1,-3.4,C1136382,M1,1,0,DisGeNET,35,Sclerocystic Ovaries,,-3.4,12,6.2,30284,144,73,4,5.5,2.7,6241|54443|55165|259266,RRM2|ANLN|CEP55|ASPM,-0.98,0
1,-3.4,C0024620,M1,1,0,DisGeNET,35,Primary Malignant Liver Neoplasm,,-3.4,21,7.5,30284,60,73,3,4.1,2.3,890|7298|10051,CCNA2|TYMS|SMC4,-0.98,0
1,-3.4,C0346402,M1,1,0,DisGeNET,35,Malignant neoplasm of adrenal cortex,,-3.4,21,7.5,30284,60,73,3,4.1,2.3,3485|7298|9232,IGFBP2|TYMS|PTTG1,-0.98,0
1,-3.4,C0035412,M1,1,0,DisGeNET,35,Rhabdomyosarcoma,,-3.4,5.1,4.9,30284,565,73,7,9.6,3.4,857|3485|4254|4288|5347|6241|283120,CAV1|IGFBP2|KITLG|MKI67|PLK1|RRM2|H19,-0.97,0
1,-3.3,C0016057,M1,1,0,DisGeNET,35,Fibrosarcoma,,-3.3,6,5.1,30284,413,73,6,8.2,3.2,857|4254|4288|6241|7042|8836,CAV1|KITLG|MKI67|RRM2|TGFB2|GGH,-0.92,0
1,-3.3,C0271561,M1,1,0,DisGeNET,35,Somatotropin deficiency,,-3.3,11,6,30284,154,73,4,5.5,2.7,857|8835|51053|283120,CAV1|SOCS2|GMNN|H19,-0.89,0
1,-3.3,C0812413,M1,1,0,DisGeNET,35,Malignant Pleural Mesothelioma,,-3.3,5.9,5,30284,421,73,6,8.2,3.2,332|857|1356|3930|5347|7298,BIRC5|CAV1|CP|LBR|PLK1|TYMS,-0.89,0
1,-3.2,C0205851,M1,1,0,DisGeNET,35,Germ cell tumor,,-3.2,7.5,5.3,30284,278,73,5,6.8,3,1154|4254|7042|9232|283120,CISH|KITLG|TGFB2|PTTG1|H19,-0.87,0
1,-3.2,C0009376,M1,1,0,DisGeNET,35,Colonic Polyps,,-3.2,18,7,30284,69,73,3,4.1,2.3,3485|4254|22943,IGFBP2|KITLG|DKK1,-0.83,0
1,-3.2,C0266294,M1,1,0,DisGeNET,35,Unilateral agenesis of kidney,,-3.2,18,7,30284,69,73,3,4.1,2.3,3930|9928|259266,LBR|KIF14|ASPM,-0.83,0
1,-3.2,C0346429,M1,1,0,DisGeNET,35,Multiple malignancy,,-3.2,10,5.8,30284,163,73,4,5.5,2.7,857|3838|4751|10051,CAV1|KPNA2|NEK2|SMC4,-0.82,0
1,-3.2,C0751075,M1,1,0,DisGeNET,35,Cancer of Digestive System,,-3.2,18,6.9,30284,71,73,3,4.1,2.3,4751|7298|22974,NEK2|TYMS|TPX2,-0.8,0
1,-3.1,C3714796,M1,1,0,DisGeNET,35,Isolated somatotropin deficiency,,-3.1,9.9,5.7,30284,168,73,4,5.5,2.7,857|8835|51053|283120,CAV1|SOCS2|GMNN|H19,-0.77,0
1,-3.1,C0027962,M1,1,0,DisGeNET,35,Melanocytic nevus,,-3.1,7,5.1,30284,296,73,5,6.8,3,1462|4254|4288|11065|79801,VCAN|KITLG|MKI67|UBE2C|SHCBP1,-0.77,0
1,-3.1,C0003872,M1,1,0,DisGeNET,35,"Arthritis, Psoriatic",,-3.1,5.5,4.8,30284,450,73,6,8.2,3.2,3672|4288|7298|9232|22943|259266,ITGA1|MKI67|TYMS|PTTG1|DKK1|ASPM,-0.77,0
1,-3.1,C0039538,M1,1,0,DisGeNET,35,Teratoma,,-3.1,9.7,5.6,30284,171,73,4,5.5,2.7,332|1154|4254|51053,BIRC5|CISH|KITLG|GMNN,-0.77,0
1,-3.1,C0010633,M1,1,0,DisGeNET,35,Cystadenoma,,-3.1,17,6.6,30284,75,73,3,4.1,2.3,4288|5347|22943,MKI67|PLK1|DKK1,-0.77,0
1,-3.1,C0023461,M1,1,0,DisGeNET,35,"Leukemia, Mast-Cell",,-3.1,17,6.6,30284,75,73,3,4.1,2.3,4254|5347|283120,KITLG|PLK1|H19,-0.77,0
1,-3.1,C0017525,M1,1,0,DisGeNET,35,Giant Cell Tumors,,-3.1,16,6.6,30284,76,73,3,4.1,2.3,890|4288|283120,CCNA2|MKI67|H19,-0.75,0
