_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-38,M30019,M1,1,0,Transcription Factor Targets,16,HSD17B8 TARGET GENES,,-38,22,27,30284,658,73,35,48,5.8,332|890|991|1063|1894|3148|3838|4288|4751|5347|6241|8340|8969|9232|9585|9787|9837|9928|10024|10051|10460|11004|11065|23306|29028|29128|54443|55165|79801|81611|83461|128239|146909|157313|259266,BIRC5|CCNA2|CDC20|CENPF|ECT2|HMGB2|KPNA2|MKI67|NEK2|PLK1|RRM2|H2BC13|H2AC11|PTTG1|KIF20B|DLGAP5|GINS1|KIF14|TROAP|SMC4|TACC3|KIF2C|UBE2C|NEMP1|ATAD2|UHRF1|ANLN|CEP55|SHCBP1|ANP32E|CDCA3|IQGAP3|KIF18B|CDCA2|ASPM,-34,0
1,-4.7,M9024,M1,1,0,Transcription Factor Targets,16,KRCTCNNNNMANAGC UNKNOWN,,-4.7,25,9.7,30284,66,73,4,5.5,2.7,3009|8340|8969|11065,H1-5|H2BC13|H2AC11|UBE2C,-2,0
1,-4.4,M8797,M1,1,0,Transcription Factor Targets,16,ALPHACP1 01,,-4.4,9.5,6.8,30284,263,73,6,8.2,3.2,4751|9787|11065|83461|115019|259266,NEK2|DLGAP5|UBE2C|CDCA3|SLC26A9|ASPM,-1.8,0
1,-3.1,M1905,M1,1,0,Transcription Factor Targets,16,SGCGSSAAA E2F1DP2 01,,-3.1,9.8,5.6,30284,170,73,4,5.5,2.7,1462|6241|29028|51053,VCAN|RRM2|ATAD2|GMNN,-0.77,0
1,-2.9,M30142,M1,1,0,Transcription Factor Targets,16,RFX7 TARGET GENES,,-2.9,5,4.4,30284,500,73,6,8.2,3.2,8836|22943|23306|51053|83461|157313,GGH|DKK1|NEMP1|GMNN|CDCA3|CDCA2,-0.61,0
1,-2.8,M40742,M1,1,0,Transcription Factor Targets,16,GTF2A2 TARGET GENES,,-2.8,4.8,4.3,30284,521,73,6,8.2,3.2,6241|8969|29028|51203|157313|440689,RRM2|H2AC11|ATAD2|NUSAP1|CDCA2|H2BC18,-0.56,0
1,-2.6,M3572,M1,1,0,Transcription Factor Targets,16,LEF1 Q2,,-2.6,7.2,4.6,30284,231,73,4,5.5,2.7,22943|57530|115019|128239,DKK1|CGN|SLC26A9|IQGAP3,-0.44,0
1,-2.6,M5768,M1,1,0,Transcription Factor Targets,16,E2F1DP1RB 01,,-2.6,7.1,4.6,30284,233,73,4,5.5,2.7,6241|29028|51053|165679,RRM2|ATAD2|GMNN|SPTSSB,-0.43,0
1,-2.6,M1013,M1,1,0,Transcription Factor Targets,16,FXR IR1 Q6,,-2.6,11,5.3,30284,112,73,3,4.1,2.3,3148|4254|285513,HMGB2|KITLG|GPRIN3,-0.43,0
1,-2.6,M10166,M1,1,0,Transcription Factor Targets,16,MYAATNNNNNNNGGC UNKNOWN,,-2.6,11,5.3,30284,112,73,3,4.1,2.3,991|1063|115019,CDC20|CENPF|SLC26A9,-0.43,0
1,-2.6,M19064,M1,1,0,Transcription Factor Targets,16,E2F Q6,,-2.6,7,4.6,30284,236,73,4,5.5,2.7,1462|6241|29028|51053,VCAN|RRM2|ATAD2|GMNN,-0.43,0
1,-2.6,M9279,M1,1,0,Transcription Factor Targets,16,E2F1 Q6,,-2.6,7,4.6,30284,236,73,4,5.5,2.7,1462|6241|29028|51053,VCAN|RRM2|ATAD2|GMNN,-0.43,0
1,-2.6,M10115,M1,1,0,Transcription Factor Targets,16,E2F Q4,,-2.6,7,4.5,30284,238,73,4,5.5,2.7,1462|6241|29028|51053,VCAN|RRM2|ATAD2|GMNN,-0.43,0
1,-2.6,M12402,M1,1,0,Transcription Factor Targets,16,E2F1DP1 01,,-2.6,7,4.5,30284,238,73,4,5.5,2.7,1462|6241|29028|51053,VCAN|RRM2|ATAD2|GMNN,-0.43,0
1,-2.6,M12555,M1,1,0,Transcription Factor Targets,16,E2F1DP2 01,,-2.6,7,4.5,30284,238,73,4,5.5,2.7,1462|6241|29028|51053,VCAN|RRM2|ATAD2|GMNN,-0.43,0
1,-2.6,M17867,M1,1,0,Transcription Factor Targets,16,E2F 02,,-2.6,7,4.5,30284,238,73,4,5.5,2.7,1462|6241|29028|51053,VCAN|RRM2|ATAD2|GMNN,-0.43,0
1,-2.6,M19298,M1,1,0,Transcription Factor Targets,16,E2F4DP2 01,,-2.6,7,4.5,30284,238,73,4,5.5,2.7,1462|6241|29028|51053,VCAN|RRM2|ATAD2|GMNN,-0.43,0
1,-2.6,M10526,M1,1,0,Transcription Factor Targets,16,E2F4DP1 01,,-2.6,6.9,4.5,30284,242,73,4,5.5,2.7,1462|6241|29028|51053,VCAN|RRM2|ATAD2|GMNN,-0.41,0
1,-2.6,M15729,M1,1,0,Transcription Factor Targets,16,E2F Q6 01,,-2.6,6.9,4.5,30284,242,73,4,5.5,2.7,6241|29028|51053|81611,RRM2|ATAD2|GMNN|ANP32E,-0.41,0
1,-2.5,M40720,M1,1,0,Transcription Factor Targets,16,HMGB2 TARGET GENES,,-2.5,5.2,4.1,30284,400,73,5,6.8,3,1356|8507|10051|81611|340547,CP|ENC1|SMC4|ANP32E|VSIG1,-0.41,0
1,-2.5,M30277,M1,1,0,Transcription Factor Targets,16,ZNF213 TARGET GENES,,-2.5,4.2,3.9,30284,595,73,6,8.2,3.2,1462|4254|8835|54492|157313|283431,VCAN|KITLG|SOCS2|NEURL1B|CDCA2|GAS2L3,-0.37,0
1,-2.5,M6144,M1,1,0,Transcription Factor Targets,16,STAT5B 01,,-2.5,6.5,4.3,30284,255,73,4,5.5,2.7,1154|8835|10051|115019,CISH|SOCS2|SMC4|SLC26A9,-0.35,0
1,-2.5,M5,M1,1,0,Transcription Factor Targets,16,STAT 01,,-2.5,6.4,4.3,30284,258,73,4,5.5,2.7,1154|8835|10051|115019,CISH|SOCS2|SMC4|SLC26A9,-0.34,0
1,-2.4,M17883,M1,1,0,Transcription Factor Targets,16,STAT5A 01,,-2.4,6.4,4.3,30284,259,73,4,5.5,2.7,1154|8835|10051|115019,CISH|SOCS2|SMC4|SLC26A9,-0.33,0
1,-2.4,M4225,M1,1,0,Transcription Factor Targets,16,NFY 01,,-2.4,6.4,4.3,30284,261,73,4,5.5,2.7,4751|5347|10460|115019,NEK2|PLK1|TACC3|SLC26A9,-0.33,0
1,-2.4,M9868,M1,1,0,Transcription Factor Targets,16,NFY Q6,,-2.4,6.3,4.3,30284,263,73,4,5.5,2.7,1063|3148|4751|115019,CENPF|HMGB2|NEK2|SLC26A9,-0.32,0
1,-2.4,M16280,M1,1,0,Transcription Factor Targets,16,PITX2 Q2,,-2.4,6.3,4.2,30284,264,73,4,5.5,2.7,4254|115019|165679|340547,KITLG|SLC26A9|SPTSSB|VSIG1,-0.32,0
1,-2.4,M19588,M1,1,0,Transcription Factor Targets,16,CEBPB 02,,-2.4,6.2,4.2,30284,266,73,4,5.5,2.7,1356|1462|8835|29028,CP|VCAN|SOCS2|ATAD2,-0.31,0
1,-2.4,M15966,M1,1,0,Transcription Factor Targets,16,TTTNNANAGCYR UNKNOWN,,-2.4,9.4,4.7,30284,133,73,3,4.1,2.3,3009|8340|8969,H1-5|H2BC13|H2AC11,-0.3,0
1,-2.4,M40797,M1,1,0,Transcription Factor Targets,16,ZNF677 TARGET GENES,,-2.4,9.4,4.7,30284,133,73,3,4.1,2.3,5347|55165|79801,PLK1|CEP55|SHCBP1,-0.3,0
1,-2.4,M4088,M1,1,0,Transcription Factor Targets,16,TCF1P Q6,,-2.4,6.1,4.2,30284,271,73,4,5.5,2.7,1063|4254|5347|51053,CENPF|KITLG|PLK1|GMNN,-0.29,0
1,-2.3,M30120,M1,1,0,Transcription Factor Targets,16,PHF21A TARGET GENES,,-2.3,5.8,4,30284,284,73,4,5.5,2.7,4001|6241|29128|89958,LMNB1|RRM2|UHRF1|SAPCD2,-0.24,0
1,-2.3,M18386,M1,1,0,Transcription Factor Targets,16,STAT5A 02,,-2.3,8.7,4.5,30284,143,73,3,4.1,2.3,4254|8835|55165,KITLG|SOCS2|CEP55,-0.24,0
1,-2.2,M30131,M1,1,0,Transcription Factor Targets,16,PSMB5 TARGET GENES,,-2.2,5.4,3.8,30284,307,73,4,5.5,2.7,6241|8340|22943|54443,RRM2|H2BC13|DKK1|ANLN,-0.16,0
1,-2,M6378,M1,1,0,Transcription Factor Targets,16,TTCYNRGAA STAT5B 01,,-2,4.9,3.5,30284,341,73,4,5.5,2.7,1154|8835|10051|115019,CISH|SOCS2|SMC4|SLC26A9,-0.025,0
