Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
3930,3.0,1,1,1
8340,3.0,1,1,1
8836,3.0,1,1,1
890,3.0,1,1,1
1154,3.0,1,1,1
4001,3.0,1,1,1
10051,3.0,1,1,1
4751,3.0,1,1,1
128239,3.0,1,1,1
6241,3.0,1,1,1
10460,3.0,1,1,1
9787,3.0,1,1,1
23306,3.0,1,1,1
332,3.0,1,1,1
3009,3.0,1,1,1
440689,3.0,1,1,1
991,3.0,1,1,1
1894,3.0,1,1,1
11065,3.0,1,1,1
22974,3.0,1,1,1
9928,3.0,1,1,1
5347,3.0,1,1,1
8969,3.0,1,1,1
29128,3.0,1,1,1
9585,3.0,1,1,1
55165,3.0,1,1,1
11004,3.0,1,1,1
1063,3.0,1,1,1
1356,3.0,1,1,1
3148,3.0,1,1,1
27122,3.0,1,1,1
8835,3.0,1,1,1
259266,3.0,1,1,1
51203,3.0,1,1,1
7018,3.0,1,1,1
51053,3.0,1,1,1
857,3.0,1,1,1
54443,3.0,1,1,1
146909,3.0,1,1,1
9232,3.0,1,1,1
7298,3.0,1,1,1
3672,2.0,1,0,1
157313,2.0,1,0,1
54492,2.0,1,1,0
29028,2.0,1,1,0
57530,2.0,1,0,1
9837,2.0,1,1,0
22943,2.0,1,1,0
4254,2.0,1,1,0
79801,2.0,1,0,1
10024,2.0,1,0,1
7042,2.0,1,1,0
283431,2.0,1,0,1
81611,2.0,1,0,1
3838,2.0,1,0,1
89958,2.0,1,1,0
83461,2.0,1,0,1
4288,2.0,1,0,1
1462,2.0,1,1,0
654483,2.0,1,1,0
26147,2.0,1,0,1
165679,1.0,1,0,0
285513,1.0,1,0,0
283120,1.0,1,0,0
79642,1.0,1,0,0
115019,1.0,1,0,0
51435,1.0,1,0,0
222962,1.0,1,0,0
25840,1.0,1,0,0
3485,1.0,1,0,0
8507,1.0,1,0,0
340547,1.0,1,0,0
9153,1.0,1,0,0
