Gene stable ID version,Gene name
ENSG00000210049.1,MT-TF
ENSG00000211459.2,MT-RNR1
ENSG00000210077.1,MT-TV
ENSG00000210082.2,MT-RNR2
ENSG00000209082.1,MT-TL1
ENSG00000198888.2,MT-ND1
ENSG00000210100.1,MT-TI
ENSG00000210107.1,MT-TQ
ENSG00000210112.1,MT-TM
ENSG00000198763.3,MT-ND2
ENSG00000210117.1,MT-TW
ENSG00000210127.1,MT-TA
ENSG00000210140.1,MT-TC
ENSG00000210144.1,MT-TY
ENSG00000198804.2,MT-CO1
ENSG00000210154.1,MT-TD
ENSG00000198712.1,MT-CO2
ENSG00000210156.1,MT-TK
ENSG00000228253.1,MT-ATP8
ENSG00000198899.2,MT-ATP6
ENSG00000198938.2,MT-CO3
ENSG00000210164.1,MT-TG
ENSG00000198840.2,MT-ND3
ENSG00000210174.1,MT-TR
ENSG00000212907.2,MT-ND4L
ENSG00000198886.2,MT-ND4
ENSG00000210176.1,MT-TH
ENSG00000210184.1,MT-TS2
ENSG00000210191.1,MT-TL2
ENSG00000198786.2,MT-ND5
ENSG00000198695.2,MT-ND6
ENSG00000210194.1,MT-TE
ENSG00000198727.2,MT-CYB
ENSG00000210195.2,MT-TT
ENSG00000210196.2,MT-TP
ENSG00000232927.1,USP12PY
ENSG00000273693.1,CDRT15P10
ENSG00000235649.2,MXRA5Y
ENSG00000185275.6,CD24P4
ENSG00000215414.4,PSMA6P1
ENSG00000231341.1,VDAC1P6
ENSG00000235001.3,EIF4A1P2
ENSG00000214207.2,KRT18P10
ENSG00000235175.1,RPL26P37
ENSG00000233652.1,CICP1
ENSG00000278242.1,RN7SL725P
ENSG00000252289.1,RNA5SP519
ENSG00000251705.1,RNA5-8SP6
ENSG00000229238.3,PPP1R12BP1
ENSG00000215604.3,ZNF962P
ENSG00000260388.2,LINC00562
ENSG00000223782.1,RPS21P8
ENSG00000275202.1,
ENSG00000223724.1,RAD17P2
ENSG00000232986.1,
ENSG00000227213.1,SPATA13-AS1
ENSG00000234765.1,ELL2P3
ENSG00000278678.1,CYCSP41
ENSG00000234159.1,RBPMSLP
ENSG00000229336.1,SREK1IP1P1
ENSG00000198618.5,PPIAP22
ENSG00000226818.1,SLC6A6P1
ENSG00000136149.6,RPL13AP25
ENSG00000273872.1,SLC25A15P4
ENSG00000223870.1,
ENSG00000236972.2,FABP5P1
ENSG00000237444.1,
ENSG00000230233.1,
ENSG00000234439.1,KRT18P2
ENSG00000234145.1,NAP1L4P3
ENSG00000229824.1,RPL12P34
ENSG00000232380.1,ZDHHC20P4
ENSG00000260583.1,
ENSG00000227969.1,NPM1P22
ENSG00000226554.1,MTCL1P1
ENSG00000232260.2,BTF3L4P1
ENSG00000263505.1,SLC25A3P3
ENSG00000214249.3,CTAGE11P
ENSG00000279885.1,
ENSG00000266613.1,COP1P1
ENSG00000228597.1,MTND4P1
ENSG00000266127.1,ZNF415P1
ENSG00000265413.1,
ENSG00000273284.1,
ENSG00000266955.1,
ENSG00000267651.1,
ENSG00000266805.1,
ENSG00000266237.1,
ENSG00000264596.1,
ENSG00000277534.1,
ENSG00000266891.1,
ENSG00000275945.1,EIF3FP1
ENSG00000279718.1,SNX18P12
ENSG00000214051.3,ARF4P3
ENSG00000224640.1,SRSF1P1
ENSG00000234354.3,RPS26P47
ENSG00000225530.1,SP3P
ENSG00000232447.1,MTND5P3
ENSG00000269365.2,
ENSG00000266965.1,
ENSG00000267156.1,TPMTP1
ENSG00000278983.1,
ENSG00000276672.1,
ENSG00000274849.1,
ENSG00000263396.1,
ENSG00000267311.1,
ENSG00000267541.1,MTCO2P2
ENSG00000263829.1,SINHCAFP1
ENSG00000237082.1,COX5BP6
ENSG00000232217.1,FTLP8
ENSG00000238025.1,ZDHHC4P1
ENSG00000279366.1,
ENSG00000264707.1,L3MBTL4-AS1
ENSG00000266541.1,
ENSG00000279629.1,
ENSG00000267524.1,RPSAP57
ENSG00000274718.1,
ENSG00000228573.1,
ENSG00000267146.1,
ENSG00000227248.1,NALF1-IT1
ENSG00000223576.2,
ENSG00000237876.1,AKR1B1P4
ENSG00000237099.1,GYG1P2
ENSG00000279707.1,
ENSG00000226665.1,SSR1P2
ENSG00000276174.1,
ENSG00000278891.1,
ENSG00000266296.1,ARIH2P1
ENSG00000175886.10,RPL7AP66
ENSG00000271437.1,
ENSG00000267462.1,
ENSG00000276740.1,
ENSG00000265094.1,
ENSG00000270496.1,BNIP3P7
ENSG00000226037.1,LINC01040
ENSG00000102539.5,MLNR
ENSG00000263978.1,MIR4499
ENSG00000252695.1,MIR2276
ENSG00000201662.1,RNU6-60P
ENSG00000274357.1,Metazoa_SRP
ENSG00000265745.2,RN7SL375P
ENSG00000243671.3,RN7SL761P
ENSG00000206922.1,RNU6-80P
ENSG00000199381.1,RNU6-79P
ENSG00000252496.1,RNA5SP33
ENSG00000232187.1,FTH1P7
ENSG00000232163.2,RPLP1P13
ENSG00000279250.1,
ENSG00000278986.1,
ENSG00000231123.1,SPATA20P1
ENSG00000238086.5,PPP1R26P1
ENSG00000177197.7,PCNPP5
ENSG00000277233.1,Metazoa_SRP
ENSG00000274929.1,
ENSG00000214359.3,RPL18P10
ENSG00000232150.3,ST13P4
ENSG00000279221.1,
ENSG00000266072.1,MIR5693
ENSG00000188985.6,DHFRP1
ENSG00000225674.1,IPO7P2
ENSG00000267655.1,
ENSG00000229800.1,ATP8A2P2
ENSG00000180138.7,CSNK1A1L
ENSG00000168122.4,ZNF355P
ENSG00000267742.1,SINHCAFP2
ENSG00000242060.1,RPS3AP49
ENSG00000223336.1,RNU2-6P
ENSG00000205105.6,COX17P1
ENSG00000277739.1,5_8S_rRNA
ENSG00000277671.1,
ENSG00000274060.1,MIR6724-2
ENSG00000274484.1,Y_RNA
ENSG00000277379.1,MIR6724-3
ENSG00000274868.1,
ENSG00000275215.1,RNA5-8SN3
ENSG00000264189.1,AIDAP3
ENSG00000275692.1,MIR6724-4
ENSG00000278775.1,
ENSG00000278189.1,RNA5-8SN1
ENSG00000275950.1,MIR6724-1
ENSG00000275664.1,
ENSG00000275708.1,MIR3648-1
ENSG00000277437.1,
ENSG00000278233.1,RNA5-8SN2
ENSG00000274046.1,Y_RNA
ENSG00000244294.3,RN7SL740P
ENSG00000200792.1,SNORA80A
ENSG00000236545.1,
ENSG00000273368.1,
ENSG00000232241.1,DYNLT3P1
ENSG00000264444.1,SDHCP1
ENSG00000231300.1,EZH2P1
ENSG00000214914.3,RPL23AP3
ENSG00000189089.5,RIMKLBP1
ENSG00000279474.1,
ENSG00000267573.1,KRT8P5
ENSG00000233625.1,
ENSG00000228149.1,RPL3P1
ENSG00000229007.1,EXOSC3P1
ENSG00000252045.1,
ENSG00000276968.1,
ENSG00000227663.1,RPL7P2
ENSG00000213384.2,EIF4E2P1
ENSG00000225131.2,PSME2P2
ENSG00000265417.1,
ENSG00000260747.1,
ENSG00000235698.1,PA2G4P2
ENSG00000264644.1,KRT18P8
ENSG00000271426.1,CENATACP1
ENSG00000236811.1,GAPDHP2
ENSG00000270001.1,
ENSG00000228444.2,
ENSG00000230902.1,FAM204CP
ENSG00000201793.1,RN7SKP9
ENSG00000218502.3,H2AZP3
ENSG00000270381.1,
ENSG00000199477.1,SNORA31
ENSG00000228886.1,
ENSG00000214455.4,RCN1P2
ENSG00000237646.1,HLCS-IT1
ENSG00000270652.1,DPRXP5
ENSG00000212136.1,RNU6-696P
ENSG00000270299.1,
ENSG00000230495.1,
ENSG00000273669.1,
ENSG00000277581.1,
ENSG00000274825.1,
ENSG00000223864.1,NPM1P19
ENSG00000226543.3,MYL6P1
ENSG00000199598.1,RNU6-859P
ENSG00000224821.5,COL4A2-AS2
ENSG00000232814.2,COL4A2-AS1
ENSG00000275880.1,NAXD-AS1
ENSG00000213440.2,H2AZP1
ENSG00000244264.3,RN7SL597P
ENSG00000215482.3,CALM2P3
ENSG00000224357.1,ATG3P1
ENSG00000235508.3,RPS2P7
ENSG00000277662.1,
ENSG00000225170.2,
ENSG00000241406.3,RN7SL515P
ENSG00000231530.1,
ENSG00000237263.1,MAPK6P3
ENSG00000202290.1,RNA5SP37
ENSG00000276573.1,
ENSG00000237672.1,KRR1P1
ENSG00000279951.1,
ENSG00000215546.2,DKKL1P1
ENSG00000266278.1,LINC01910
ENSG00000266479.1,
ENSG00000265698.1,LARP7P3
ENSG00000243516.1,RPL12P40
ENSG00000238286.1,SLC35E1P1
ENSG00000278291.1,
ENSG00000279433.1,
ENSG00000233524.1,RANP8
ENSG00000275485.1,
ENSG00000213621.3,RPSAP54
ENSG00000233851.1,LATS2-AS1
ENSG00000278330.1,
ENSG00000242381.3,RN7SL741P
ENSG00000279077.1,
ENSG00000256704.3,ENTR1P1
ENSG00000267497.1,NFE2L3P1
ENSG00000199197.1,RN7SKP72
ENSG00000199856.2,U3
ENSG00000251994.1,RNU2-27P
ENSG00000200883.1,Y_RNA
ENSG00000207160.1,RNU6-1289P
ENSG00000265641.1,MIR3929
ENSG00000202240.1,RNU6-737P
ENSG00000279442.1,
ENSG00000252598.1,RNA5SP460
ENSG00000236235.1,
ENSG00000207072.1,RNU6-39P
ENSG00000236097.1,BNIP3P2
ENSG00000184624.4,ZNF72BP
ENSG00000280341.1,
ENSG00000263460.1,BOD1P1
ENSG00000274776.1,
ENSG00000228386.2,
ENSG00000267587.1,
ENSG00000280212.1,
ENSG00000267724.1,
ENSG00000267800.1,
ENSG00000185834.10,RPL12P4
ENSG00000275437.1,
ENSG00000179253.3,
ENSG00000279314.1,
ENSG00000278732.1,Metazoa_SRP
ENSG00000224628.2,CDK5RAP3P1
ENSG00000227964.1,LINC01429
ENSG00000277151.1,
ENSG00000234835.1,PHB1P13
ENSG00000181358.3,CTAGE10P
ENSG00000253797.2,UTP14C
ENSG00000158470.5,B4GALT5
ENSG00000280025.1,
ENSG00000219608.3,HIGD1AP16
ENSG00000231405.1,
ENSG00000234891.1,
ENSG00000224574.1,COL18A1-AS2
ENSG00000275167.1,MIR6815
ENSG00000243900.3,RN7SL320P
ENSG00000242893.3,RN7SL413P
ENSG00000224451.2,ATP5PBP1
ENSG00000266521.1,
ENSG00000259985.1,
ENSG00000215444.2,RPL29P35
ENSG00000235485.1,ACO2P1
ENSG00000274578.1,
ENSG00000280335.1,
ENSG00000266696.1,
ENSG00000263895.1,
ENSG00000276786.1,
ENSG00000225246.1,RPS2P1
ENSG00000260542.1,
ENSG00000263916.1,
ENSG00000265182.1,SRP72P1
ENSG00000207154.1,RNU1-46P
ENSG00000229152.2,ANKRD10-IT1
ENSG00000274614.1,
ENSG00000233873.1,RPL7P44
ENSG00000228002.2,DHX9P1
ENSG00000232806.1,
ENSG00000279440.1,
ENSG00000268812.3,LIF-AS2
ENSG00000274898.1,
ENSG00000277159.1,
ENSG00000232684.1,ATP11A-AS1
ENSG00000277545.1,
ENSG00000261610.1,
ENSG00000225218.1,
ENSG00000236513.1,
ENSG00000231216.1,GS1-600G8.3
ENSG00000231913.1,RARRES2P3
ENSG00000232897.2,
ENSG00000228501.2,RPL15P18
ENSG00000270632.1,
ENSG00000201812.1,RNA5SP488
ENSG00000235701.1,PCBP2P1
ENSG00000237371.1,
ENSG00000257356.2,BNIP3P6
ENSG00000233247.3,UBE2E4P
ENSG00000185915.5,KLHL34
ENSG00000263615.1,MIR4306
ENSG00000259086.3,KIAA1143P1
ENSG00000258894.1,ARHGAP16P
ENSG00000258828.2,KRT8P2
ENSG00000258401.1,ATP5MC2P2
ENSG00000258901.2,
ENSG00000271424.1,GLRX5P3
ENSG00000258850.1,
ENSG00000234274.1,COX7BP2
ENSG00000226332.2,
ENSG00000252096.1,
ENSG00000202260.1,RN7SKP69
ENSG00000200494.1,Y_RNA
ENSG00000257179.1,HMGN2P6
ENSG00000275305.1,RNA5SP528
ENSG00000199676.1,Y_RNA
ENSG00000207053.1,RNU6-937P
ENSG00000240474.3,RN7SL116P
ENSG00000275337.1,RN7SL680P
ENSG00000202186.1,RNU6-497P
ENSG00000207158.1,RNU6-929P
ENSG00000258445.3,MAD2L1P1
ENSG00000259169.1,GNRHR2P1
ENSG00000213598.4,RPL31P4
ENSG00000232608.1,TIMM9P2
ENSG00000237373.1,BRWD1-IT1
ENSG00000229623.1,METTL21AP1
ENSG00000124145.6,SDC4
ENSG00000275894.1,
ENSG00000254620.1,
ENSG00000268941.2,LINC01711
ENSG00000277232.2,GTSE1-DT
ENSG00000254419.1,
ENSG00000252915.1,Y_RNA
ENSG00000279712.1,
ENSG00000279833.1,
ENSG00000258980.1,EIF1AXP2
ENSG00000235808.1,MYL6P2
ENSG00000228349.1,RPS26P4
ENSG00000225330.1,
ENSG00000236577.1,SNRPGP14
ENSG00000207147.1,
ENSG00000237782.3,PLLPP1
ENSG00000235587.2,GAPDHP65
ENSG00000263681.1,MIR3197
ENSG00000213997.3,PGAM1P7
ENSG00000221763.1,MIR1289-1
ENSG00000258896.1,SCOCP1
ENSG00000227401.1,RPL37P1
ENSG00000222460.1,RN7SKP271
ENSG00000252549.1,RNU6-759P
ENSG00000226243.1,RPL37AP1
ENSG00000215571.5,GRK6P1
ENSG00000222747.1,RNA5SP25
ENSG00000230022.1,FNTAP2
ENSG00000226525.5,RPS7P10
ENSG00000244197.3,RN7SL766P
ENSG00000231241.1,RPS3AP3
ENSG00000226144.2,RPS27AP3
ENSG00000241229.3,RN7SL443P
ENSG00000258877.2,ATP5F1AP4
ENSG00000201372.1,RNU6-1251P
ENSG00000215467.2,RPL27AP
ENSG00000279642.1,
ENSG00000258760.1,
ENSG00000224856.2,RPL35AP36
ENSG00000280216.1,
ENSG00000179611.3,DGKZP1
ENSG00000236420.1,CHCHD3P1
ENSG00000235838.1,HSP90AB7P
ENSG00000235772.1,
ENSG00000235023.1,
ENSG00000227009.1,FUNDC2P4
ENSG00000202347.1,RNU1-16P
ENSG00000276916.1,
ENSG00000276248.1,
ENSG00000237387.1,
ENSG00000224003.1,YES1P1
ENSG00000266184.1,
ENSG00000258490.1,
ENSG00000203527.2,SCUBE1-AS1
ENSG00000258930.1,
ENSG00000258571.1,PTTG1P1
ENSG00000258769.1,RAP1AP
ENSG00000258427.3,RMB8AP1
ENSG00000258406.1,TUBBP3
ENSG00000279423.1,
ENSG00000259055.1,
ENSG00000267504.1,
ENSG00000278703.1,
ENSG00000207598.1,MIR124-3
ENSG00000270000.1,
ENSG00000220702.1,
ENSG00000273797.1,
ENSG00000259079.1,
ENSG00000258966.1,GTF3AP2
ENSG00000259051.1,HNRNPUP1
ENSG00000266463.1,MIR3196
ENSG00000222585.1,RNA5SP494
ENSG00000201209.1,SNORD42
ENSG00000199797.1,Y_RNA
ENSG00000209482.1,SNORD83A
ENSG00000276753.1,MIR6821
ENSG00000224861.1,YBX1P1
ENSG00000214076.3,CPSF1P1
ENSG00000273325.1,
ENSG00000275620.1,FLJ16779
ENSG00000230736.2,
ENSG00000243519.1,IGLVIVOR22-2
ENSG00000232218.1,RGL4P1
ENSG00000260509.2,
ENSG00000215349.2,MRPL3P1
ENSG00000224976.2,PARP4P2
ENSG00000231184.3,CCNQP3
ENSG00000232894.1,MRPS31P2
ENSG00000215572.2,ESRRAP1
ENSG00000225976.5,CKS1BP2
ENSG00000238132.2,GOLM2P1
ENSG00000214019.2,RBM39P1
ENSG00000202159.1,RNU6-742P
ENSG00000235028.3,HMGN1P30
ENSG00000226352.2,PSPC1-AS2
ENSG00000275014.1,RN7SL166P
ENSG00000233469.1,ST6GALNAC4P1
ENSG00000267257.1,
ENSG00000266946.1,MRPL37P1
ENSG00000267501.1,
ENSG00000251870.1,RNU2-69P
ENSG00000227519.1,
ENSG00000240647.3,RN7SL305P
ENSG00000234961.1,
ENSG00000228232.1,GAPDHP1
ENSG00000169906.5,S100G
ENSG00000270499.1,MKI67P1
ENSG00000237849.1,NFYAP1
ENSG00000214269.3,LGMNP1
ENSG00000236565.3,HNRNPA3P5
ENSG00000235472.1,EIF4A1P7
ENSG00000229310.1,RPP40P1
ENSG00000233588.1,CYP51A1P2
ENSG00000221760.1,MIR548J
ENSG00000226048.1,YBX1P8
ENSG00000252412.1,Y_RNA
ENSG00000266104.1,MIR4326
ENSG00000225192.1,ZNF33BP1
ENSG00000258935.1,
ENSG00000252623.1,RNA5SP481
ENSG00000279623.1,
ENSG00000242571.1,RPL21P11
ENSG00000259005.1,
ENSG00000151963.4,ZNF37CP
ENSG00000275576.1,
ENSG00000224452.1,RSL24D1P6
ENSG00000257900.2,
ENSG00000259100.1,COILP1
ENSG00000175730.8,BAK1P1
ENSG00000260257.2,
ENSG00000215464.4,RPS10P29
ENSG00000215284.2,CHMP5P1
ENSG00000200301.1,RNA5SP483
ENSG00000234335.1,RPS4XP11
ENSG00000279253.1,
ENSG00000261582.1,
ENSG00000259151.2,CAP2P1
