"","D916_R1_ACATCG.bam","D916_R1_ATTGGC.bam","D916_R1_CACTGT.bam","D916_R1_CGTGAT.bam","D916_R1_GATCTG.bam","D916_R1_GCCTAA.bam","D916_R1_TCAAGT.bam","D916_R1_TGGTCA.bam"
"ENSG00000223972.5",0,0,0,6,0,1,0,0
"ENSG00000227232.5",70,173,71,116,301,215,117,63
"ENSG00000278267.1",4,24,0,59,17,0,19,0
"ENSG00000238009.4",0,0,0,3,0,0,3,0
"ENSG00000233750.3",0,1,0,0,1,0,7,1
"ENSG00000268903.1",1,0,0,0,4,5,0,0
"ENSG00000269981.1",0,0,0,0,0,0,0,0
"ENSG00000239906.1",0,0,2,0,0,0,0,0
"ENSG00000241860.4",1,1,0,0,0,7,2,2
"ENSG00000241599.1",0,0,0,0,0,0,0,0
"ENSG00000279928.1",9,0,0,0,1,18,0,0
"ENSG00000279457.1",78,103,28,86,204,93,104,68
"ENSG00000273874.1",0,0,0,0,1,0,3,0
"ENSG00000228463.6",13,33,0,62,3,2,3,0
"ENSG00000236679.2",0,2,1,0,0,0,0,0
"ENSG00000236601.1",0,1,0,0,0,0,0,0
"ENSG00000237094.9",8,0,0,12,6,0,0,11
"ENSG00000233653.3",0,1,0,11,4,0,7,3
"ENSG00000250575.1",1,9,1,0,1,5,0,5
"ENSG00000231709.1",0,0,0,0,0,0,0,0
"ENSG00000235146.2",0,1,0,0,7,0,0,0
"ENSG00000230021.5",3,0,0,0,0,0,0,0
"ENSG00000225972.1",18,11,7,12,58,73,11,10
"ENSG00000225630.1",64,221,45,132,181,218,92,153
"ENSG00000276171.1",7,25,10,10,55,10,30,24
"ENSG00000237973.1",62,147,72,77,250,142,117,71
"ENSG00000229344.1",4,10,0,3,16,9,7,12
"ENSG00000240409.1",0,0,0,0,2,0,0,0
"ENSG00000248527.1",371,914,244,649,1344,927,513,713
"ENSG00000198744.5",0,8,2,0,1,2,7,16
"ENSG00000229376.3",0,0,0,11,4,0,0,2
"ENSG00000224956.5",0,9,0,0,0,0,0,5
"ENSG00000235373.1",1,0,13,0,24,4,4,1
"ENSG00000240618.1",0,0,0,0,0,0,0,1
"ENSG00000228327.2",12,10,0,9,36,7,7,0
"ENSG00000237491.6",0,27,5,2,44,30,28,1
"ENSG00000230092.5",0,0,0,0,0,0,38,0
"ENSG00000177757.2",0,6,0,15,0,4,9,0
"ENSG00000228794.6",20,67,16,16,32,34,20,14
"ENSG00000225880.5",0,16,0,33,18,23,2,6
"ENSG00000272438.1",0,4,0,1,9,0,6,0
"ENSG00000230699.2",40,79,2,56,40,44,19,20
"ENSG00000241180.1",0,0,0,0,0,0,14,0
"ENSG00000223764.2",65,77,30,116,243,145,4,22
"ENSG00000187634.8",80,176,64,161,568,333,86,109
"ENSG00000188976.8",625,1120,357,851,1908,1141,551,533
"ENSG00000187961.11",180,286,45,263,304,242,227,97
"ENSG00000187583.8",54,160,57,133,225,157,52,54
"ENSG00000187642.7",55,30,0,25,53,0,60,10
"ENSG00000272512.1",48,47,43,20,118,19,16,69
"ENSG00000188290.8",229,1071,292,361,1154,821,460,635
"ENSG00000187608.6",197,455,132,197,620,370,525,174
"ENSG00000231702.2",0,0,0,0,8,0,0,0
"ENSG00000224969.1",0,0,0,0,8,0,0,0
"ENSG00000188157.11",4023,10957,2681,6185,15657,8156,6430,5064
"ENSG00000217801.7",17,331,84,97,465,170,114,133
"ENSG00000273443.1",0,56,2,10,26,91,24,16
"ENSG00000237330.2",38,75,7,10,53,0,42,50
"ENSG00000131591.15",151,447,116,310,571,381,239,250
"ENSG00000223823.1",0,0,0,0,14,0,0,44
"ENSG00000207607.2",0,4,0,0,0,0,0,0
"ENSG00000272141.1",0,0,0,0,2,0,0,0
"ENSG00000162571.11",0,0,0,0,0,0,0,0
"ENSG00000186891.11",10,40,0,37,20,22,0,32
"ENSG00000186827.8",0,0,0,16,26,6,6,0
"ENSG00000078808.14",745,1978,543,1115,3322,2011,1390,1338
"ENSG00000176022.4",221,336,117,247,490,515,223,258
"ENSG00000184163.3",8,69,10,23,38,32,25,19
"ENSG00000260179.1",0,2,0,11,6,0,8,28
"ENSG00000160087.18",323,544,126,295,889,393,261,241
"ENSG00000230415.1",10,20,0,0,12,31,0,0
"ENSG00000162572.17",22,65,0,18,87,12,56,48
"ENSG00000131584.16",583,829,238,597,987,685,559,251
"ENSG00000169972.9",100,247,79,211,352,182,260,139
"ENSG00000127054.16",340,1087,197,482,1242,605,558,501
"ENSG00000240731.1",2,6,22,0,26,30,12,4
"ENSG00000224051.4",172,338,133,249,601,363,236,195
"ENSG00000169962.4",30,63,0,69,78,12,58,12
"ENSG00000107404.15",715,2072,359,1044,2018,1336,1215,973
"ENSG00000162576.14",42,42,12,54,29,58,60,40
"ENSG00000175756.11",541,1358,275,783,1942,1173,591,812
"ENSG00000221978.9",535,1454,293,759,1858,908,983,575
"ENSG00000224870.4",163,112,8,155,327,123,153,106
"ENSG00000242485.3",119,264,72,197,479,382,275,90
"ENSG00000272455.1",0,14,6,18,32,74,16,6
"ENSG00000205116.3",15,8,14,6,4,33,0,0
"ENSG00000225285.1",12,71,8,8,47,35,3,18
"ENSG00000179403.11",623,1755,455,808,2764,1399,975,912
"ENSG00000215915.7",8,17,3,9,14,6,5,15
"ENSG00000160072.17",180,566,136,302,594,584,228,310
"ENSG00000197785.11",402,600,153,573,751,429,396,465
"ENSG00000205090.6",16,0,12,18,6,29,6,0
"ENSG00000160075.11",538,892,323,554,1642,958,681,482
"ENSG00000215014.4",0,0,2,0,61,8,0,2
"ENSG00000228594.2",0,0,0,0,0,0,0,0
"ENSG00000272106.1",2,0,0,2,22,20,36,21
"ENSG00000197530.10",337,566,120,325,862,439,465,289
"ENSG00000189409.10",0,12,0,0,1,0,0,0
"ENSG00000248333.5",107,246,40,205,330,194,140,101
"ENSG00000272004.1",0,14,0,0,6,0,2,0
"ENSG00000189339.9",459,996,249,810,1357,833,904,685
"ENSG00000269737.1",26,36,4,4,77,53,48,14
"ENSG00000269227.1",0,0,0,0,2,6,9,2
"ENSG00000215914.4",0,3,0,0,0,0,0,0
"ENSG00000008128.20",11,15,26,12,32,25,44,0
"ENSG00000268575.1",0,35,0,38,55,48,38,46
"ENSG00000227775.3",31,34,7,49,67,31,19,14
"ENSG00000215790.4",22,89,43,48,145,66,18,44
"ENSG00000008130.13",364,1344,384,556,2320,1022,869,655
"ENSG00000078369.15",1384,3195,878,1767,4833,2694,1866,1973
"ENSG00000231050.1",4,15,8,6,6,0,16,0
"ENSG00000169885.7",0,0,0,10,4,0,0,0
"ENSG00000178821.10",10,0,4,4,0,22,2,30
"ENSG00000142609.15",0,0,0,0,0,0,0,0
"ENSG00000067606.13",6,0,22,0,0,2,0,0
"ENSG00000182873.5",0,0,0,0,0,8,12,0
"ENSG00000162585.14",468,725,147,267,727,522,429,333
"ENSG00000234396.3",0,0,0,2,0,0,0,0
"ENSG00000157933.9",606,1053,185,653,1412,830,580,565
"ENSG00000116151.11",74,249,28,98,371,147,53,67
"ENSG00000272161.1",0,0,0,0,0,0,0,28
"ENSG00000269896.2",0,30,0,10,19,4,12,14
"ENSG00000272420.1",2,0,0,0,17,20,2,0
"ENSG00000157916.16",355,927,228,532,1391,860,669,396
"ENSG00000157911.7",181,320,148,259,753,475,375,178
