"","x"
"1","ENSG00000162591.13"
"2","ENSG00000132879.11"
"3","ENSG00000162692.8"
"4","ENSG00000174502.16"
"5","ENSG00000117724.10"
"6","ENSG00000138061.9"
"7","ENSG00000232973.9"
"8","ENSG00000115904.10"
"9","ENSG00000168874.10"
"10","ENSG00000138411.8"
"11","ENSG00000241635.5"
"12","ENSG00000114812.10"
"13","ENSG00000154165.4"
"14","ENSG00000047457.11"
"15","ENSG00000163659.10"
"16","ENSG00000196542.6"
"17","ENSG00000180801.12"
"18","ENSG00000225138.5"
"19","ENSG00000066230.8"
"20","ENSG00000112769.16"
"21","ENSG00000165272.12"
"22","ENSG00000186193.8"
"23","ENSG00000197142.8"
"24","ENSG00000182704.7"
"25","ENSG00000089127.10"
"26","ENSG00000188549.10"
"27","ENSG00000186417.11"
"28","ENSG00000140465.11"
"29","ENSG00000179889.16"
"30","ENSG00000169627.7"
"31","ENSG00000103257.6"
"32","ENSG00000108602.15"
"33","ENSG00000060566.11"
"34","ENSG00000105088.6"
"35","ENSG00000099337.3"
"36","ENSG00000019186.7"
"37","ENSG00000100196.8"
"38","ENSG00000188064.7"
"39","ENSG00000186951.14"
"40","ENSG00000102312.18"
"41","ENSG00000117399.11"
"42","ENSG00000142945.10"
"43","ENSG00000117226.9"
"44","ENSG00000203814.6"
"45","ENSG00000143401.12"
"46","ENSG00000143375.12"
"47","ENSG00000183856.8"
"48","ENSG00000073756.9"
"49","ENSG00000066279.14"
"50","ENSG00000118193.9"
"51","ENSG00000117650.10"
"52","ENSG00000092969.9"
"53","ENSG00000143815.12"
"54","ENSG00000171848.11"
"55","ENSG00000138029.11"
"56","ENSG00000115226.7"
"57","ENSG00000170485.14"
"58","ENSG00000115457.7"
"59","ENSG00000178038.14"
"60","ENSG00000114737.13"
"61","ENSG00000168237.15"
"62","ENSG00000144852.14"
"63","ENSG00000273033.2"
"64","ENSG00000163870.12"
"65","ENSG00000113810.13"
"66","ENSG00000114346.11"
"67","ENSG00000013810.16"
"68","ENSG00000124882.3"
"69","ENSG00000185477.4"
"70","ENSG00000145386.7"
"71","ENSG00000249609.1"
"72","ENSG00000164104.9"
"73","ENSG00000063438.14"
"74","ENSG00000113504.17"
"75","ENSG00000213949.6"
"76","ENSG00000171617.11"
"77","ENSG00000113368.9"
"78","ENSG00000164611.10"
"79","ENSG00000214357.6"
"80","ENSG00000161011.17"
"81","ENSG00000112312.7"
"82","ENSG00000274267.1"
"83","ENSG00000196787.3"
"84","ENSG00000185130.5"
"85","ENSG00000184357.4"
"86","ENSG00000203801.6"
"87","ENSG00000146477.5"
"88","ENSG00000164638.8"
"89","ENSG00000226598.1"
"90","ENSG00000011426.8"
"91","ENSG00000146678.7"
"92","ENSG00000105974.9"
"93","ENSG00000204876.4"
"94","ENSG00000184661.11"
"95","ENSG00000168077.11"
"96","ENSG00000170786.10"
"97","ENSG00000137563.9"
"98","ENSG00000156802.10"
"99","ENSG00000119125.14"
"100","ENSG00000081377.14"
"101","ENSG00000119403.11"
"102","ENSG00000227218.5"
"103","ENSG00000167106.9"
"104","ENSG00000160323.16"
"105","ENSG00000148426.10"
"106","ENSG00000107984.7"
"107","ENSG00000138182.12"
"108","ENSG00000138180.13"
"109","ENSG00000148773.10"
"110","ENSG00000215182.8"
"111","ENSG00000130600.13"
"112","ENSG00000050165.15"
"113","ENSG00000168003.14"
"114","ENSG00000134955.9"
"115","ENSG00000151715.5"
"116","ENSG00000111665.9"
"117","ENSG00000135451.10"
"118","ENSG00000185432.11"
"119","ENSG00000166881.7"
"120","ENSG00000049130.11"
"121","ENSG00000120833.11"
"122","ENSG00000139354.8"
"123","ENSG00000280208.1"
"124","ENSG00000126787.10"
"125","ENSG00000156381.6"
"126","ENSG00000137804.10"
"127","ENSG00000137860.9"
"128","ENSG00000166825.11"
"129","ENSG00000166851.12"
"130","ENSG00000174943.7"
"131","ENSG00000171241.6"
"132","ENSG00000103089.6"
"133","ENSG00000261253.2"
"134","ENSG00000186185.11"
"135","ENSG00000182481.6"
"136","ENSG00000089685.12"
"137","ENSG00000176890.13"
"138","ENSG00000276043.2"
"139","ENSG00000130513.6"
"140","ENSG00000089639.8"
"141","ENSG00000105499.11"
"142","ENSG00000125780.11"
"143","ENSG00000089057.12"
"144","ENSG00000188559.11"
"145","ENSG00000101003.9"
"146","ENSG00000088325.13"
"147","ENSG00000175063.14"
"148","ENSG00000101210.8"
"149","ENSG00000275993.2"
"150","ENSG00000160181.6"
"151","ENSG00000185022.9"
"152","ENSG00000159307.16"
"153","ENSG00000101842.11"
"154","ENSG00000091513.12"
"155","ENSG00000038427.13"
"156","ENSG00000156510.12"
"157","ENSG00000100422.11"
