Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
WikiPathways,27,WP2873,Aryl hydrocarbon receptor pathway,,-11,62,21,30284,45,76,7,9.2,3.3,218|1543|1545|3484|8140|54658|57491,ALDH3A1|CYP1A1|CYP1B1|IGFBP1|SLC7A5|UGT1A1|AHRR,-6.6,MyList
WikiPathways,27,WP2882,Nuclear receptors meta pathway,,-11,15,13,30284,314,76,12,16,4.2,218|1543|1545|3484|5465|5743|8140|8856|8878|23764|54658|57491,ALDH3A1|CYP1A1|CYP1B1|IGFBP1|PPARA|PTGS2|SLC7A5|NR1I2|SQSTM1|MAFF|UGT1A1|AHRR,-6.6,MyList
GO Biological Processes,19,GO:0007584,response to nutrient,19_GO:0050896 response to stimulus,-8.1,20,12,30284,161,76,8,11,3.5,360|1543|1545|1591|5465|5743|7412|54658,AQP3|CYP1A1|CYP1B1|CYP24A1|PPARA|PTGS2|VCAM1|UGT1A1,-4.3,MyList
GO Biological Processes,19,GO:0031667,response to nutrient levels,19_GO:0050896 response to stimulus,-7.2,8.6,8.7,30284,510,76,11,14,4,360|1543|1545|1591|5465|5743|6581|7412|8140|9518|54658,AQP3|CYP1A1|CYP1B1|CYP24A1|PPARA|PTGS2|SLC22A3|VCAM1|SLC7A5|GDF15|UGT1A1,-3.5,MyList
Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,,-6.8,6.9,7.9,30284,691,76,12,16,4.2,1543|1545|1591|3032|4862|5465|5743|8605|51703|57491|64781|79152,CYP1A1|CYP1B1|CYP24A1|HADHB|NPAS2|PPARA|PTGS2|PLA2G4C|ACSL5|AHRR|CERK|FA2H,-3.2,MyList
GO Biological Processes,19,GO:0019752,carboxylic acid metabolic process,19_GO:0009987 cellular process,-6.3,6.1,7.3,30284,783,76,12,16,4.2,1543|1545|3032|5465|5743|8605|9962|23042|51703|54658|79152|80201,CYP1A1|CYP1B1|HADHB|PPARA|PTGS2|PLA2G4C|SLC23A2|PDXDC1|ACSL5|UGT1A1|FA2H|HKDC1,-2.7,MyList
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0009987 cellular process,-6.1,7.6,7.6,30284,525,76,10,13,3.9,1543|1545|3032|5465|5743|8605|51703|54658|79152|80201,CYP1A1|CYP1B1|HADHB|PPARA|PTGS2|PLA2G4C|ACSL5|UGT1A1|FA2H|HKDC1,-2.6,MyList
GO Biological Processes,19,GO:0006805,xenobiotic metabolic process,19_GO:0050896 response to stimulus,-6.1,19,10,30284,127,76,6,7.9,3.1,218|1543|1545|8856|54658|57491,ALDH3A1|CYP1A1|CYP1B1|NR1I2|UGT1A1|AHRR,-2.6,MyList
GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-6,7.3,7.4,30284,546,76,10,13,3.9,1545|1591|2635|3032|5465|5743|7477|8140|11093|54658,CYP1B1|CYP24A1|GBP3|HADHB|PPARA|PTGS2|WNT7B|SLC7A5|ADAMTS13|UGT1A1,-2.6,MyList
GO Biological Processes,19,GO:0006631,fatty acid metabolic process,19_GO:0009987 cellular process,-5.8,9.7,8,30284,327,76,8,11,3.5,1543|1545|3032|5465|5743|8605|51703|79152,CYP1A1|CYP1B1|HADHB|PPARA|PTGS2|PLA2G4C|ACSL5|FA2H,-2.4,MyList
