_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-8.12881367086617,GO:0050896,response to stimulus,M1,1,GO:0007584 response to nutrient
1,-6.252265409239873,GO:0009987,cellular process,M1,1,GO:0019752 carboxylic acid metabolic process
1,-5.655845359313222,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0032496 response to lipopolysaccharide
1,-5.550112744833348,GO:0065007,biological regulation,M1,1,GO:0008210 estrogen metabolic process
1,-5.169905125333857,GO:0022414,reproductive process,M1,1,GO:0007567 parturition
1,-4.8221430745803655,GO:0032502,developmental process,M1,1,GO:0048514 blood vessel morphogenesis
1,-3.8659675206575437,GO:0048518,positive regulation of biological process,M1,1,GO:0031349 positive regulation of defense response
1,-3.777594413305413,GO:0050789,regulation of biological process,M1,1,GO:0019217 regulation of fatty acid metabolic process
1,-3.7016209054709095,GO:0042592,homeostatic process,M1,1,GO:0048871 multicellular organismal-level homeostasis
1,-3.615837693417165,GO:0051179,localization,M1,1,GO:0042908 xenobiotic transport
1,-2.7631402986381017,GO:0032501,multicellular organismal process,M1,1,GO:0044706 multi-multicellular organism process
1,-2.524215542801556,GO:0016032,viral process,M1,1,GO:0046718 symbiont entry into host cell
1,-2.2948165808065886,GO:0040007,growth,M1,1,GO:0048589 developmental growth
1,-2.2911405250718992,GO:0048511,rhythmic process,M1,1,GO:0048511 rhythmic process
