_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.2,COVID016,M1,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Up,,-7.2,12,9.6,30284,300,76,9,12,3.7,1543|1545|2069|2635|4938|5743|8140|23764|25976,CYP1A1|CYP1B1|EREG|GBP3|OAS1|PTGS2|SLC7A5|MAFF|TIPARP,-3.2,0
1,-7.2,COVID050,M1,1,0,COVID,200,RNA_Wyler_Calu-3_24h_Up,,-7.2,12,9.6,30284,300,76,9,12,3.7,1543|2069|2635|4938|5743|6520|9518|10723|25976,CYP1A1|EREG|GBP3|OAS1|PTGS2|SLC3A2|GDF15|SLC12A7|TIPARP,-3.2,0
1,-6.1,COVID036,M1,1,0,COVID,200,RNA_Sun_Calu-3_0h_Up,,-6.1,11,8.4,30284,300,76,8,11,3.5,2069|4938|5743|7412|9962|10723|23764|79152,EREG|OAS1|PTGS2|VCAM1|SLC23A2|SLC12A7|MAFF|FA2H,-2.6,0
1,-5.3,COVID191,M1,1,0,COVID,200,RNA_Stukalov_A549-ACE2_24h_Up,,-5.3,20,9.6,30284,98,76,5,6.6,2.8,2069|7477|8605|9518|25976,EREG|WNT7B|PLA2G4C|GDF15|TIPARP,-2.1,0
1,-5.1,COVID173,M1,1,0,COVID,200,Proteome_Stukalov_A549_72h_ORF3_Up,,-5.1,9.6,7.4,30284,291,76,7,9.2,3.3,3484|5743|6520|8878|23764|25987|102724428,IGFBP1|PTGS2|SLC3A2|SQSTM1|MAFF|TSKU|LOC102724428,-2,0
1,-5,COVID010,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-ACE2_Up,,-5,9.3,7.2,30284,300,76,7,9.2,3.3,2069|3484|5743|9518|10723|23764|25976,EREG|IGFBP1|PTGS2|GDF15|SLC12A7|MAFF|TIPARP,-1.9,0
1,-5,COVID193,M1,1,0,COVID,200,RNA_Stukalov_A549-ACE2_30h_Up,,-5,9.3,7.2,30284,300,76,7,9.2,3.3,1545|2069|5743|7477|8605|9518|25976,CYP1B1|EREG|PTGS2|WNT7B|PLA2G4C|GDF15|TIPARP,-1.9,0
1,-4,COVID038,M1,1,0,COVID,200,RNA_Sun_Calu-3_12h_Up,,-4,8,6.1,30284,300,76,6,7.9,3.1,1543|1545|4938|5743|7412|25976,CYP1A1|CYP1B1|OAS1|PTGS2|VCAM1|TIPARP,-1.3,0
1,-3.3,COVID027,M1,1,0,COVID,200,RNA_Lamers_intestinal-organoid_expansion_Down,,-3.3,7.5,5.4,30284,264,76,5,6.6,2.8,5465|7032|51703|120224|122416,PPARA|TFF2|ACSL5|TMEM45B|ANKRD9,-0.87,0
1,-3.3,COVID042,M1,1,0,COVID,200,RNA_Sun_Calu-3_7h_Up,,-3.3,19,7.2,30284,63,76,3,3.9,2.2,1543|1545|25976,CYP1A1|CYP1B1|TIPARP,-0.87,0
