_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-10,M40212,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL INTESTINE INTESTINAL EPITHELIAL CELLS,,-10,16,12,30284,276,76,11,14,4,290|2069|6550|7433|8856|9615|51703|80201|84699|120224|132158,ANPEP|EREG|SLC9A3|VIPR1|NR1I2|GDA|ACSL5|HKDC1|CREB3L3|TMEM45B|GLYCTK,-5.5,0
1,-6.8,M40301,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL STOMACH MUC13 DMBT1 POSITIVE CELLS,,-6.8,25,12,30284,97,76,6,7.9,3.1,7433|8856|9615|51703|80201|84699,VIPR1|NR1I2|GDA|ACSL5|HKDC1|CREB3L3,-3,0
1,-6.5,M40029,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL MATURE ENTEROCYTES,,-6.5,12,9.2,30284,259,76,8,11,3.5,290|1543|6520|10723|51703|80201|84699|122416,ANPEP|CYP1A1|SLC3A2|SLC12A7|ACSL5|HKDC1|CREB3L3|ANKRD9,-2.9,0
1,-6.5,M40028,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL LATE IMMATURE ENTEROCYTES,,-6.5,16,9.9,30284,177,76,7,9.2,3.3,290|1543|3032|9615|51703|84699|120224,ANPEP|CYP1A1|HADHB|GDA|ACSL5|CREB3L3|TMEM45B,-2.9,0
1,-5.4,M40158,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL CEREBELLUM VASCULAR ENDOTHELIAL CELLS,,-5.4,6.3,6.8,30284,632,76,10,13,3.9,218|290|2635|4862|6520|8140|10723|120224|254427|259173,ALDH3A1|ANPEP|GBP3|NPAS2|SLC3A2|SLC7A5|SLC12A7|TMEM45B|PROSER2|ALS2CL,-2.1,0
1,-4.7,M40013,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC MATURE PIT CELLS,,-4.7,11,7.3,30284,224,76,6,7.9,3.1,218|4938|7032|25987|79152|399665,ALDH3A1|OAS1|TFF2|TSKU|FA2H|EEIG1,-1.7,0
1,-4,M39051,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HMGL,,-4,5.5,5.5,30284,577,76,8,11,3.5,4938|5743|7477|8878|9424|23764|51703|219855,OAS1|PTGS2|WNT7B|SQSTM1|KCNK6|MAFF|ACSL5|SLC37A2,-1.3,0
1,-4,M39135,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,,-4,11,6.7,30284,184,76,5,6.6,2.8,6520|8878|9518|10723|23764,SLC3A2|SQSTM1|GDF15|SLC12A7|MAFF,-1.3,0
1,-4,M39125,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C24 EPCAM POS BILE DUCT CELLS 3,,-4,11,6.7,30284,185,76,5,6.6,2.8,290|360|10723|79152|399665,ANPEP|AQP3|SLC12A7|FA2H|EEIG1,-1.3,0
1,-4,M40220,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL KIDNEY URETERIC BUD CELLS,,-4,8,6.1,30284,300,76,6,7.9,3.1,1591|7477|54658|79152|120224|388115,CYP24A1|WNT7B|UGT1A1|FA2H|TMEM45B|CCDC9B,-1.3,0
1,-3.9,M40283,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL PLACENTA VASCULAR ENDOTHELIAL CELLS,,-3.9,16,7.4,30284,102,76,4,5.3,2.6,1543|7433|57186|57520,CYP1A1|VIPR1|RALGAPA2|HECW2,-1.3,0
1,-3.4,M40175,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL EYE CORNEAL AND CONJUNCTIVAL EPITHELIAL CELLS,,-3.4,8.2,5.7,30284,243,76,5,6.6,2.8,360|2635|9518|23764|195814,AQP3|GBP3|GDF15|MAFF|SDR16C5,-0.95,0
1,-3.4,M39159,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE 24W C10 ENTEROCYTE,,-3.4,21,7.6,30284,56,76,3,3.9,2.2,290|8856|120224,ANPEP|NR1I2|TMEM45B,-0.94,0
1,-3.4,M39322,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART VALVAR ENDOTHELIAL CELL,,-3.4,11,6.2,30284,141,76,4,5.3,2.6,1545|5743|23764|25976,CYP1B1|PTGS2|MAFF|TIPARP,-0.9,0
1,-3.3,M39174,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-3.3,4.4,4.6,30284,731,76,8,11,3.5,290|1543|8878|9518|10723|11015|64838|79152,ANPEP|CYP1A1|SQSTM1|GDF15|SLC12A7|KDELR3|FNDC4|FA2H,-0.87,0
1,-3.3,M41677,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG LIPOFIBROBLAST CELL,,-3.3,11,6,30284,146,76,4,5.3,2.6,1545|23764|25976|64838,CYP1B1|MAFF|TIPARP|FNDC4,-0.87,0
1,-3.2,M39209,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-3.2,4.2,4.5,30284,765,76,8,11,3.5,1545|3910|6581|7412|25987|64838|80274|342035,CYP1B1|LAMA4|SLC22A3|VCAM1|TSKU|FNDC4|SCUBE1|GLDN,-0.84,0
1,-3.2,M40167,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL CEREBRUM VASCULAR ENDOTHELIAL CELLS,,-3.2,4.8,4.6,30284,585,76,7,9.2,3.3,218|290|1953|3484|8140|10723|120224,ALDH3A1|ANPEP|MEGF6|IGFBP1|SLC7A5|SLC12A7|TMEM45B,-0.84,0
1,-3.1,M39050,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPERIC,,-3.1,4,4.3,30284,795,76,8,11,3.5,290|3032|3910|5743|8605|9518|10723|23764,ANPEP|HADHB|LAMA4|PTGS2|PLA2G4C|GDF15|SLC12A7|MAFF,-0.79,0
1,-3,M39129,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C30 HEPATOCYTES 4,,-3,5.4,4.7,30284,446,76,6,7.9,3.1,3484|5465|8856|9962|57186|132158,IGFBP1|PPARA|NR1I2|SLC23A2|RALGAPA2|GLYCTK,-0.77,0
1,-2.9,M41651,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASAL CELL,,-2.9,8.5,5.2,30284,188,76,4,5.3,2.6,218|360|1591|6520,ALDH3A1|AQP3|CYP24A1|SLC3A2,-0.66,0
1,-2.7,M39139,M1,1,0,Cell Type Signatures,7,GAO ESOPHAGUS 25W C4 FGFR1HIGH EPITHELIAL CELLS,,-2.7,7.7,4.8,30284,208,76,4,5.3,2.6,1545|7412|11015|93611,CYP1B1|VCAM1|KDELR3|FBXO44,-0.54,0
1,-2.7,M39302,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART C5 VALVAR CELL,,-2.7,7.7,4.8,30284,208,76,4,5.3,2.6,1545|5743|6581|23764,CYP1B1|PTGS2|SLC22A3|MAFF,-0.54,0
1,-2.6,M39018,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS BRAIN ENDOTHELIAL,,-2.6,5.5,4.3,30284,365,76,5,6.6,2.8,290|3910|6520|8140|10723,ANPEP|LAMA4|SLC3A2|SLC7A5|SLC12A7,-0.5,0
1,-2.6,M39111,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C7 EPCAM POS BILE DUCT CELLS 2,,-2.6,7.3,4.7,30284,219,76,4,5.3,2.6,290|9518|10723|23764,ANPEP|GDF15|SLC12A7|MAFF,-0.5,0
1,-2.3,M39039,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BRAIN ENDOTHELIAL 1,,-2.3,4.5,3.7,30284,440,76,5,6.6,2.8,1953|3910|6520|8140|120224,MEGF6|LAMA4|SLC3A2|SLC7A5|TMEM45B,-0.27,0
1,-2.3,M40004,M1,1,0,Cell Type Signatures,7,BUSSLINGER ESOPHAGEAL LATE SUPRABASAL CELLS,,-2.3,8.5,4.5,30284,140,76,3,3.9,2.2,218|360|7053,ALDH3A1|AQP3|TGM3,-0.25,0
1,-2.2,M41675,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG ADVENTITIAL FIBROBLAST CELL,,-2.2,5.4,3.8,30284,296,76,4,5.3,2.6,1545|23764|25976|25987,CYP1B1|MAFF|TIPARP|TSKU,-0.18,0
1,-2.2,M39034,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX ASTROCYTE 2,,-2.2,7.8,4.2,30284,153,76,3,3.9,2.2,3910|6520|7412,LAMA4|SLC3A2|VCAM1,-0.18,0
1,-2.1,M39285,M1,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM RESPIRATORY CILIATED CELLS,,-2.1,7.7,4.2,30284,156,76,3,3.9,2.2,218|4586|9518,ALDH3A1|MUC5AC|GDF15,-0.18,0
1,-2.1,M40233,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL LIVER STELLATE CELLS,,-2.1,7.5,4.1,30284,159,76,3,3.9,2.2,7433|11093|57491,VIPR1|ADAMTS13|AHRR,-0.16,0
1,-2.1,M40012,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC IMMATURE PIT CELLS,,-2.1,7.2,4,30284,165,76,3,3.9,2.2,218|7032|79152,ALDH3A1|TFF2|FA2H,-0.13,0
1,-2.1,M40234,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL LIVER HEPATOBLASTS,,-2.1,4,3.4,30284,500,76,5,6.6,2.8,290|3484|6581|80201|84699,ANPEP|IGFBP1|SLC22A3|HKDC1|CREB3L3,-0.12,0
1,-2.1,M41690,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASOPHIL MAST 2 CELL,,-2.1,4,3.4,30284,502,76,5,6.6,2.8,5743|8878|23764|25976|122416,PTGS2|SQSTM1|MAFF|TIPARP|ANKRD9,-0.11,0
1,-2,M39074,M1,1,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES ASTROCYTES,,-2,4.9,3.5,30284,325,76,4,5.3,2.6,3032|6520|7412|93145,HADHB|SLC3A2|VCAM1|OLFM2,-0.1,0
1,-2,M39160,M1,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE 24W C11 PANETH LIKE CELL,,-2,4.9,3.5,30284,325,76,4,5.3,2.6,5743|8140|9962|219855,PTGS2|SLC7A5|SLC23A2|SLC37A2,-0.1,0
1,-2,M40244,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL LUNG MYELOID CELLS,,-2,6.8,3.9,30284,176,76,3,3.9,2.2,290|5743|219855,ANPEP|PTGS2|SLC37A2,-0.077,0
