_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.1,C0085207,M1,1,0,DisGeNET,35,Gestational Diabetes,,-7.1,7.4,8.2,30284,649,76,12,16,4.2,290|1545|1591|3484|5465|5743|6654|7412|7433|9518|80201|80274,ANPEP|CYP1B1|CYP24A1|IGFBP1|PPARA|PTGS2|SOS1|VCAM1|VIPR1|GDF15|HKDC1|SCUBE1,-3.2,0
1,-6.8,C1304119,M1,1,0,DisGeNET,35,Chronic stable plaque psoriasis,,-6.8,2.4e+02,27,30284,5,76,3,3.9,2.2,1543|1545|54658,CYP1A1|CYP1B1|UGT1A1,-3,0
1,-6.5,C4529962,M1,1,0,DisGeNET,35,Fatty Liver Disease,,-6.5,6.5,7.5,30284,741,76,12,16,4.2,290|3032|5465|5743|7412|8605|8856|8878|9518|11093|25987|51703,ANPEP|HADHB|PPARA|PTGS2|VCAM1|PLA2G4C|NR1I2|SQSTM1|GDF15|ADAMTS13|TSKU|ACSL5,-2.9,0
1,-6.1,C0019158,M1,1,0,DisGeNET,35,Hepatitis,,-6.1,6.7,7.4,30284,655,76,11,14,4,1545|5465|5743|7412|7433|8856|8878|9518|25976|54658|80201,CYP1B1|PPARA|PTGS2|VCAM1|VIPR1|NR1I2|SQSTM1|GDF15|TIPARP|UGT1A1|HKDC1,-2.7,0
1,-6,C0596321,M1,1,0,DisGeNET,35,Chemical Carcinogenesis,,-6,28,11,30284,71,76,5,6.6,2.8,1543|1545|5465|5743|8856,CYP1A1|CYP1B1|PPARA|PTGS2|NR1I2,-2.6,0
1,-6,C0008370,M1,1,0,DisGeNET,35,Cholestasis,,-6,8.5,7.8,30284,420,76,9,12,3.7,290|3032|5465|6581|7412|8856|9962|11093|54658,ANPEP|HADHB|PPARA|SLC22A3|VCAM1|NR1I2|SLC23A2|ADAMTS13|UGT1A1,-2.6,0
1,-5.5,C0020473,M1,1,0,DisGeNET,35,Hyperlipidemia,,-5.5,7.6,7.2,30284,472,76,9,12,3.7,290|1543|5465|5743|7412|8856|8878|51703|64838,ANPEP|CYP1A1|PPARA|PTGS2|VCAM1|NR1I2|SQSTM1|ACSL5|FNDC4,-2.2,0
1,-5.5,C1704272,M1,1,0,DisGeNET,35,Benign Prostatic Hyperplasia,,-5.5,5.7,6.6,30284,770,76,11,14,4,1543|1545|5465|5743|6581|7433|8856|8878|9518|54658|120224,CYP1A1|CYP1B1|PPARA|PTGS2|SLC22A3|VIPR1|NR1I2|SQSTM1|GDF15|UGT1A1|TMEM45B,-2.2,0
1,-5.3,C0149521,M1,1,0,DisGeNET,35,"Pancreatitis, Chronic",,-5.3,8.4,7.3,30284,379,76,8,11,3.5,1543|1591|2069|4586|5743|7032|9518|54658,CYP1A1|CYP24A1|EREG|MUC5AC|PTGS2|TFF2|GDF15|UGT1A1,-2.1,0
1,-5.2,C0032584,M1,1,0,DisGeNET,35,polyps,,-5.2,8.2,7.2,30284,390,76,8,11,3.5,1591|2069|4586|5743|6581|7032|7412|8878,CYP24A1|EREG|MUC5AC|PTGS2|SLC22A3|TFF2|VCAM1|SQSTM1,-2,0
