_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.2,TRR00004,M1,1,0,TRRUST,34,Regulated by: AHR,,-6.2,59,15,30284,27,76,4,5.3,2.6,1543|1545|54658|57491,CYP1A1|CYP1B1|UGT1A1|AHRR,-2.7,0
1,-5.2,TRR01256,M1,1,0,TRRUST,34,Regulated by: SP1,,-5.2,6.8,6.8,30284,525,76,9,12,3.7,1545|3484|4586|5743|6520|6654|8140|8878|9615,CYP1B1|IGFBP1|MUC5AC|PTGS2|SLC3A2|SOS1|SLC7A5|SQSTM1|GDA,-2,0
1,-4.7,TRR00270,M1,1,0,TRRUST,34,Regulated by: EP300,,-4.7,25,9.7,30284,63,76,4,5.3,2.6,1545|3910|5743|7412,CYP1B1|LAMA4|PTGS2|VCAM1,-1.7,0
1,-4.3,TRR01277,M1,1,0,TRRUST,34,Regulated by: STAT3,,-4.3,12,7.2,30284,162,76,5,6.6,2.8,4938|5465|5743|6654|79152,OAS1|PPARA|PTGS2|SOS1|FA2H,-1.4,0
1,-3.8,TRR01060,M1,1,0,TRRUST,34,Regulated by: PPARA,,-3.8,28,8.9,30284,42,76,3,3.9,2.2,1543|3484|5743,CYP1A1|IGFBP1|PTGS2,-1.2,0
1,-3.6,TRR00674,M1,1,0,TRRUST,34,Regulated by: KLF4,,-3.6,25,8.3,30284,48,76,3,3.9,2.2,1543|3910|9518,CYP1A1|LAMA4|GDF15,-1.1,0
1,-2.9,TRR00280,M1,1,0,TRRUST,34,Regulated by: ETS1,,-2.9,14,6.1,30284,84,76,3,3.9,2.2,290|3484|8878,ANPEP|IGFBP1|SQSTM1,-0.67,0
1,-2.8,TRR01158,M1,1,0,TRRUST,34,Regulated by: RELA,,-2.8,6,4.6,30284,334,76,5,6.6,2.8,1543|4586|5465|5743|7412,CYP1A1|MUC5AC|PPARA|PTGS2|VCAM1,-0.6,0
1,-2.8,TRR00875,M1,1,0,TRRUST,34,Regulated by: NFKB1,,-2.8,5.9,4.5,30284,340,76,5,6.6,2.8,1543|4586|5743|7412|8878,CYP1A1|MUC5AC|PTGS2|VCAM1|SQSTM1,-0.58,0
1,-2.7,TRR00253,M1,1,0,TRRUST,34,Regulated by: EGR1,,-2.7,12,5.5,30284,100,76,3,3.9,2.2,5743|6550|9518,PTGS2|SLC9A3|GDF15,-0.52,0
1,-2.6,TRR00125,M1,1,0,TRRUST,34,Regulated by: CREB1,,-2.6,11,5.3,30284,105,76,3,3.9,2.2,360|4586|5743,AQP3|MUC5AC|PTGS2,-0.49,0
1,-2.4,TRR01259,M1,1,0,TRRUST,34,Regulated by: SP3,,-2.4,9.4,4.8,30284,127,76,3,3.9,2.2,3484|6654|7032,IGFBP1|SOS1|TFF2,-0.33,0
1,-2,TRR00645,M1,1,0,TRRUST,34,Regulated by: JUN,,-2,7,3.9,30284,172,76,3,3.9,2.2,5465|5743|7412,PPARA|PTGS2|VCAM1,-0.096,0
