Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M40212,DESCARTES FETAL INTESTINE INTESTINAL EPITHELIAL CELLS,,-10,16,12,30284,276,76,11,14,4,290|2069|6550|7433|8856|9615|51703|80201|84699|120224|132158,ANPEP|EREG|SLC9A3|VIPR1|NR1I2|GDA|ACSL5|HKDC1|CREB3L3|TMEM45B|GLYCTK,-5.5,MyList
COVID,200,COVID016,RNA_Blanco-Melo_Calu-3_Up,,-7.2,12,9.6,30284,300,76,9,12,3.7,1543|1545|2069|2635|4938|5743|8140|23764|25976,CYP1A1|CYP1B1|EREG|GBP3|OAS1|PTGS2|SLC7A5|MAFF|TIPARP,-3.2,MyList
COVID,200,COVID050,RNA_Wyler_Calu-3_24h_Up,,-7.2,12,9.6,30284,300,76,9,12,3.7,1543|2069|2635|4938|5743|6520|9518|10723|25976,CYP1A1|EREG|GBP3|OAS1|PTGS2|SLC3A2|GDF15|SLC12A7|TIPARP,-3.2,MyList
DisGeNET,35,C0085207,Gestational Diabetes,,-7.1,7.4,8.2,30284,649,76,12,16,4.2,290|1545|1591|3484|5465|5743|6654|7412|7433|9518|80201|80274,ANPEP|CYP1B1|CYP24A1|IGFBP1|PPARA|PTGS2|SOS1|VCAM1|VIPR1|GDF15|HKDC1|SCUBE1,-3.2,MyList
DisGeNET,35,C1304119,Chronic stable plaque psoriasis,,-6.8,2.4e+02,27,30284,5,76,3,3.9,2.2,1543|1545|54658,CYP1A1|CYP1B1|UGT1A1,-3,MyList
Cell Type Signatures,7,M40301,DESCARTES FETAL STOMACH MUC13 DMBT1 POSITIVE CELLS,,-6.8,25,12,30284,97,76,6,7.9,3.1,7433|8856|9615|51703|80201|84699,VIPR1|NR1I2|GDA|ACSL5|HKDC1|CREB3L3,-3,MyList
Cell Type Signatures,7,M40029,BUSSLINGER DUODENAL MATURE ENTEROCYTES,,-6.5,12,9.2,30284,259,76,8,11,3.5,290|1543|6520|10723|51703|80201|84699|122416,ANPEP|CYP1A1|SLC3A2|SLC12A7|ACSL5|HKDC1|CREB3L3|ANKRD9,-2.9,MyList
DisGeNET,35,C4529962,Fatty Liver Disease,,-6.5,6.5,7.5,30284,741,76,12,16,4.2,290|3032|5465|5743|7412|8605|8856|8878|9518|11093|25987|51703,ANPEP|HADHB|PPARA|PTGS2|VCAM1|PLA2G4C|NR1I2|SQSTM1|GDF15|ADAMTS13|TSKU|ACSL5,-2.9,MyList
Cell Type Signatures,7,M40028,BUSSLINGER DUODENAL LATE IMMATURE ENTEROCYTES,,-6.5,16,9.9,30284,177,76,7,9.2,3.3,290|1543|3032|9615|51703|84699|120224,ANPEP|CYP1A1|HADHB|GDA|ACSL5|CREB3L3|TMEM45B,-2.9,MyList
TRRUST,34,TRR00004,Regulated by: AHR,,-6.2,59,15,30284,27,76,4,5.3,2.6,1543|1545|54658|57491,CYP1A1|CYP1B1|UGT1A1|AHRR,-2.7,MyList
DisGeNET,35,C0019158,Hepatitis,,-6.1,6.7,7.4,30284,655,76,11,14,4,1545|5465|5743|7412|7433|8856|8878|9518|25976|54658|80201,CYP1B1|PPARA|PTGS2|VCAM1|VIPR1|NR1I2|SQSTM1|GDF15|TIPARP|UGT1A1|HKDC1,-2.7,MyList
COVID,200,COVID036,RNA_Sun_Calu-3_0h_Up,,-6.1,11,8.4,30284,300,76,8,11,3.5,2069|4938|5743|7412|9962|10723|23764|79152,EREG|OAS1|PTGS2|VCAM1|SLC23A2|SLC12A7|MAFF|FA2H,-2.6,MyList
DisGeNET,35,C0596321,Chemical Carcinogenesis,,-6,28,11,30284,71,76,5,6.6,2.8,1543|1545|5465|5743|8856,CYP1A1|CYP1B1|PPARA|PTGS2|NR1I2,-2.6,MyList
DisGeNET,35,C0008370,Cholestasis,,-6,8.5,7.8,30284,420,76,9,12,3.7,290|3032|5465|6581|7412|8856|9962|11093|54658,ANPEP|HADHB|PPARA|SLC22A3|VCAM1|NR1I2|SLC23A2|ADAMTS13|UGT1A1,-2.6,MyList
DisGeNET,35,C0020473,Hyperlipidemia,,-5.5,7.6,7.2,30284,472,76,9,12,3.7,290|1543|5465|5743|7412|8856|8878|51703|64838,ANPEP|CYP1A1|PPARA|PTGS2|VCAM1|NR1I2|SQSTM1|ACSL5|FNDC4,-2.2,MyList
DisGeNET,35,C1704272,Benign Prostatic Hyperplasia,,-5.5,5.7,6.6,30284,770,76,11,14,4,1543|1545|5465|5743|6581|7433|8856|8878|9518|54658|120224,CYP1A1|CYP1B1|PPARA|PTGS2|SLC22A3|VIPR1|NR1I2|SQSTM1|GDF15|UGT1A1|TMEM45B,-2.2,MyList
