,,Control,15c,15c,Control,15an,15a,15an,15a
ENSG00000223972,,0,0,0,6,0,1,0,0
ENSG00000227232,,70,173,71,116,301,215,117,63
ENSG00000278267,,4,24,0,59,17,0,19,0
ENSG00000238009,,0,0,0,3,0,0,3,0
ENSG00000233750,,0,1,0,0,1,0,7,1
ENSG00000268903,,1,0,0,0,4,5,0,0
ENSG00000269981,,0,0,0,0,0,0,0,0
ENSG00000239906,,0,0,2,0,0,0,0,0
ENSG00000241860,,1,1,0,0,0,7,2,2
ENSG00000241599,,0,0,0,0,0,0,0,0
ENSG00000279928,,9,0,0,0,1,18,0,0
ENSG00000279457,,78,103,28,86,204,93,104,68
ENSG00000273874,,0,0,0,0,1,0,3,0
ENSG00000228463,,13,33,0,62,3,2,3,0
ENSG00000236679,,0,2,1,0,0,0,0,0
ENSG00000236601,,0,1,0,0,0,0,0,0
ENSG00000237094,,8,0,0,12,6,0,0,11
ENSG00000233653,,0,1,0,11,4,0,7,3
ENSG00000250575,,1,9,1,0,1,5,0,5
ENSG00000231709,,0,0,0,0,0,0,0,0
ENSG00000235146,,0,1,0,0,7,0,0,0
ENSG00000230021,,3,0,0,0,0,0,0,0
ENSG00000225972,,18,11,7,12,58,73,11,10
ENSG00000225630,,64,221,45,132,181,218,92,153
ENSG00000276171,,7,25,10,10,55,10,30,24
ENSG00000237973,,62,147,72,77,250,142,117,71
ENSG00000229344,,4,10,0,3,16,9,7,12
ENSG00000240409,,0,0,0,0,2,0,0,0
ENSG00000248527,,371,914,244,649,1344,927,513,713
ENSG00000198744,,0,8,2,0,1,2,7,16
ENSG00000229376,,0,0,0,11,4,0,0,2
ENSG00000224956,,0,9,0,0,0,0,0,5
ENSG00000235373,,1,0,13,0,24,4,4,1
ENSG00000240618,,0,0,0,0,0,0,0,1
ENSG00000228327,,12,10,0,9,36,7,7,0
ENSG00000237491,,0,27,5,2,44,30,28,1
ENSG00000230092,,0,0,0,0,0,0,38,0
ENSG00000177757,,0,6,0,15,0,4,9,0
ENSG00000228794,,20,67,16,16,32,34,20,14
ENSG00000225880,,0,16,0,33,18,23,2,6
ENSG00000272438,,0,4,0,1,9,0,6,0
ENSG00000230699,,40,79,2,56,40,44,19,20
ENSG00000241180,,0,0,0,0,0,0,14,0
ENSG00000223764,,65,77,30,116,243,145,4,22
ENSG00000187634,,80,176,64,161,568,333,86,109
ENSG00000188976,,625,1120,357,851,1908,1141,551,533
ENSG00000187961,,180,286,45,263,304,242,227,97
ENSG00000187583,,54,160,57,133,225,157,52,54
ENSG00000187642,,55,30,0,25,53,0,60,10
ENSG00000272512,,48,47,43,20,118,19,16,69
ENSG00000188290,,229,1071,292,361,1154,821,460,635
ENSG00000187608,,197,455,132,197,620,370,525,174
ENSG00000231702,,0,0,0,0,8,0,0,0
ENSG00000224969,,0,0,0,0,8,0,0,0
ENSG00000188157,,4023,10957,2681,6185,15657,8156,6430,5064
ENSG00000217801,,17,331,84,97,465,170,114,133
ENSG00000273443,,0,56,2,10,26,91,24,16
ENSG00000237330,,38,75,7,10,53,0,42,50
ENSG00000131591,,151,447,116,310,571,381,239,250
ENSG00000223823,,0,0,0,0,14,0,0,44
ENSG00000207607,,0,4,0,0,0,0,0,0
ENSG00000272141,,0,0,0,0,2,0,0,0
